id,name,external_id,state,country,mw,mwh,status,date_first_heard,start_construction,start_operation,start_estimated,owner,is_megapack,is_tesla,lat,long,coords_hint,has_user_data,project_website,link1,link2,link3,link4
33,Ozop New York,,new york,usa,2,4,planning,2021-08-25,,,,,False,True,40.645624,-73.940749,0,True,,https://www.globenewswire.com/news-release/2021/08/25/2286612/0/en/Ozop-Energy-Solutions-Inc-to-Utilize-Tesla-MEGAPACK-in-Battery-Storage-System-Design-Updated.html,https://www.globenewswire.com/news-release/2021/08/18/2282824/0/en/Ozop-Energy-Solutions-OZSC-Announces-Stem-Smart-Energy-Storage-2MW-4MWh-Project-in-New-York-City.html,,
34,"Goleta Energy Storage, LLC",66394,california,usa,60,160,operation,2023-04,2023-07,2024-01,,"Goleta Energy Storage, LLC",True,True,34.43274,-119.869283,1,True,https://www.cityofgoleta.org/city-hall/planning-and-environmental-review/ceqa-review/cortona-battery-storage-project,https://www.cityofgoleta.org/Home/Components/News/News/14634/3875?npage=2,,,
35,Contego,,west sussex,uk,34,68,operation,,,2021-09-07,,,True,True,50.955104,-0.163008,1,True,https://www.harmonyenergy.co.uk/projects/,https://www.teslarati.com/tesla-batteries-uk-largest-energy-storage/,https://www.youtube.com/watch?v=zh6PFeObrHs,,
36,Trents Energy Storage,,,barbados,5,20,operation,,,2017-01-01,,,False,True,13.293125,-59.627449,1,True,,https://www.blpc.com.bb/images/watts_new_print/LEX_BLPC_Newsletter_2020_Vol19_SEP3.pdf?type=file,https://www.solarbarbados.com/2019/05/09/first-utility-scale-solar-farm-10mw-in-barbados/,,
45,Riverina 1 + 2 / Darlington Point Energy Storage,,new south wales,australia,150,300,operation,2021-05-25,,2023-10-09,2023Q1,,True,True,-34.646927,146.03516,1,True,https://edifyenergy.com/project/riverina-darlington-point/,https://www.pv-magazine-australia.com/2023/10/09/edify-claims-new-era-in-energy-transition-as-nsws-largest-battery-system-goes-live/,https://www.power-technology.com/news/edify-shell-riverina-energy-storage/,https://www.energy-storage.news/tesla-megapacks-picked-for-edifys-300mwh-australia-battery-portfolio/,https://pp.planningportal.nsw.gov.au/major-projects/projects/darlington-point-solar-farm
62,"Eland Solar & Storage Center, Phase 1 Hy",61168,california,usa,150,600,operation,2020-09,2022-01,2024-11,2023,68SF 8me LLC,True,True,35.198008,-117.991201,1,True,,https://www.8minute.com/2020/01/capital-dynamics-and-8minute-solar-energy-partner-on-breakthrough-400mwac-eland-solar-storage-center/,https://x.com/Tesla_Megapack/status/1794120454883659833,,
76,Clay Tye,,essex,uk,99,198,operation,,2021-09-06,2024-03-22,,,True,True,51.552193,0.297889,1,True,,https://www.harmonyenergy.co.uk/general/work-starts-on-uks-largest-battery-project/,https://x.com/Tesla_Megapack/status/1775254497973202985,https://www.solarpowerportal.co.uk/harmony-energy-frv-energise-99mw-198mwh-bess-in-essex/,
101,Arroyo Solar Energy Storage Hybrid,63172,new mexico,usa,150,600,operation,2020-09,2021-10,2023-07,2022Q4,Arroyo Solar LLC,True,True,35.9703,-107.5631,1,True,,https://www.energy-storage.news/new-mexicos-largest-solar-plus-storage-plant-in-utility-coal-retirement-plan-acquired-by-de-shaw/,https://reneweconomy.com.au/new-mexico-utility-to-replace-coal-plant-with-four-solar-and-battery-projects-31989/,https://www.pnmforwardtogether.com/assets/uploads/replacement-plan-filing-july2019/07_Thomas_G_Fallgrenl.pdf,https://www.gem.wiki/Arroyo_Solar_Energy_Storage_Hybrid#cite_note-USEia2022March-1
111,Agua Fria,141,arizona,usa,25,100,operation,2021-10,,2021-09,,Salt River Project,True,True,33.553691,-112.212654,1,True,,https://media.srpnet.com/srps-largest-energy-storage-facility-now-online/,https://www.energy-storage.news/arizona-utility-srp-brings-online-25mw-100mwh-tesla-megapack-battery-storage-project/,,
113,Cranberry Point Energy Storage,62844,massachusetts,usa,150,300,construction,2020-09,2024-04,,2025-05,Cranberry Point Energy Storage LLC,True,True,41.896693,-70.786639,1,True,https://cranberrypointenergystorage.com/,https://www.greentechmedia.com/articles/read/plus-power-breaks-open-new-england-market-for-massive-batteries,https://twitter.com/SharifaDarani/status/1612314447074439168,,
