name,city,id,external_id,overwrite,state,country,capacity_mwh,estimate_mwh,power_mw,customer,owner,developer,manufacturer,type,cells,no_of_battery_units,status,date_first_heard,start_construction,start_operation,start_estimated,cost_million,cost_currency,cost_incl_solar,lat,long,coords_hint,coords_hint_2,use_case,notes,project_website,link1,link2,link3,link4
Flower Farm,,402,7614,1,eastern,uk,,49,49,,Tribus Clean Energy,,,,,,planning,2020-03-19,,,,,,,,,,,,,,,,,
Energy Centre Royal Mint,,403,7684,1,wales,uk,,20,20,,Infinite Energy Renewables,,,,,,construction,2019-12-09,2021-04-01,,,,,,,,,,,,,,,,
Holes Bay,Poole,404,7688,1,dorset,uk,,15,15,,Harmony Energy,,tesla,megapack,,,construction,2020-01-14,2020-01-01,,,,,,50.726395,-1.9901,1,,,Duplicate of 17,,,,,
Feeder Road,,405,7663,1,south west,uk,,20,20,,Thrive Renewables,,,,,,planning,2020-05-27,,,,,,,,,,,,,,,,,
East Ballochy,,406,7675,1,scotland,uk,,10,10,,ScottishPower Renewables,,,,,,planning,2020-09-15,,,,,,,,,,,,,,,,,
Thurrock Flexible Generation Plant,,407,7696,1,eastern,uk,,150,150,,RPS Group / Thurrock Power,,,,,,planning,,,,,,,,,,,,,,,,,,
Lister Drive,,408,7740,1,north west,uk,,49,49,,Arenko Cleantech,,,,,,construction,2020-03-13,2021-05-01,,,,,,,,,,,,,,,,
Churchtown Solar Farm Battery Storage,,409,7726,1,south west,uk,,18,18,,Renewable Energy Systems (RES),,,,,,planning,2020-03-19,,,,,,,,,,,,,,,,,
Rye Common,Farnham,410,7737,1,hampshire,uk,198,,99,,Harmony Energy Income Trust,Harmony Energy Limited / Ritchie Bland Energy No. 2 Ltd,tesla,megapack,,,planning,,,,2024Q3,,,,51.25011,-0.87423,1,location_exact,,Phase II is 200m north-east of Phase I,,https://www.theaic.co.uk/aic/news/citywire-news/harmony-energy-looks-at-fund-options-after-c-share-flop,https://www.investegate.co.uk/harmony-energy-inc.--heit-/rns/acquisition-of-three-pipeline-projects/202212150700037588J/,https://publicaccess.hart.gov.uk/online-applications/applicationDetails.do?keyVal=R56JLBHZGS400&activeTab=summary,https://publicaccess.hart.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RJ0K4PHZ0GB00
Basing Road,,411,7746,1,south east,uk,,20,20,,Eco-Economix,,,,,,planning,,,,,,,,,,,,,,,,,,
Stonehill Energy Storage,,412,7773,1,south west,uk,,50,50,,Penso Power,,,,,,construction,2020-02-24,2021-06-09,,,,,,,,,,,,,,,,
Fordtown Energy Storage (Resubmission),,413,7764,1,scotland,uk,,29,29,,Intelligent Land Investments (ILI),,,,,,planning,2020-03-17,,,,,,,,,,,,,,,,,
Liverpool Energy Management Facility,,414,7772,1,north west,uk,,49,49,,Statkraft UK,,,,,,planning,2020-06-17,,,,,,,,,,,,,,,,,
Newton Wood Farm,,415,7780,1,east midlands,uk,,49,49,,Anesco,,,,,,planning,2020-10-28,,,,,,,,,,,,,,,,,
Hawthorne Road,,416,7800,1,north west,uk,,40,40,,Shaw Energy,,,,,,planning,2020-04-14,,,,,,,,,,,,,,,,,
Clauchrie Windfarm Battery,,417,7804,1,scotland,uk,,25,25,,Scottish Power Renewables,,,,,,planning,,,,,,,,,,,,,,,,,,
Manor Farm,,418,7820,1,east midlands,uk,,26,26,,Coriolis Energy,,,,,,planning,2019-06-04,,,,,,,,,,,,,,,,,
Mauxhall Farm,,419,7827,1,yorkshire and humber,uk,,24,24,,ENGIE Renewables,,,,,,planning,2020-11-06,,,,,,,,,,,,,,,,,
Titchfield Lane,,420,7828,1,south east,uk,,49,49,,Balanced Grid Solutions,,,,,,planning,2020-08-20,,,,,,,,,,,,,,,,,
Cleve Hill Solar Project,,421,7856,1,south east,uk,,350,350,,Cleve Hill Solar (Hive Energy/ Wirsol Energy),,,,,,planning,2020-05-28,,,,,,,,,,,,,,,,,
Arecleoch Wind Farm (extension),,422,7882,1,scotland,uk,,20,20,,ScottishPower Renewables,,,,,,planning,,,,,,,,,,,,,,,,,,
Coventry National Grid Substation,,423,7885,1,west midlands,uk,,49,49,,Pivot Power,,,,,,planning,2021-01-22,,,,,,,,,,,,,,,,,
Dundee Technology Park,,424,7946,1,scotland,uk,,49,49,,Gigabox Developments,,,,,,operation,2020-10-09,,2021-06-21,,,,,,,,,,,,,,,
Reach Road,,425,7906,1,eastern,uk,,49,49,,UK Power Networks,,,,,,planning,2020-07-15,,,,,,,,,,,,,,,,,
Bustleholme Substation,,426,7907,1,west midlands,uk,,49,49,,Pivot Power,,,,,,planning,2021-02-01,,,,,,,,,,,,,,,,,
Minety Substation,,427,7942,1,south west,uk,,49,49,,JBM Solar Project,,,,,,planning,,,,,,,,,,,,,,,,,,
Unit 5 XL Business Park,,428,7985,1,north west,uk,,49,49,,Amber Infrastructure Group,,,,,,construction,2017-12-18,2021-07-01,,,,,,,,,,,,,,,,
Perserverance Road (Resubmission),,429,7966,1,west midlands,uk,,20,20,,Noriker Power,,,,,,planning,2020-11-13,,,,,,,,,,,,,,,,,
Learielaw Farm,,430,7970,1,scotland,uk,,29,29,,Intelligent Land Investments,,,,,,planning,2020-10-29,,,,,,,,,,,,,,,,,
Park Farm,,431,7983,1,south west,uk,,10,10,,Eco-Economix,,,,,,planning,2018-05-03,,,,,,,,,,,,,,,,,
Mucklow Hill,,432,7984,1,west midlands,uk,,12,12,,Volta Energy Storage,,,,,,planning,2017-12-21,,,,,,,,,,,,,,,,,
Britannia House,,433,7986,1,north west,uk,,10,10,,Peel Energy,,,,,,planning,2017-12-04,,,,,,,,,,,,,,,,,
Whitehouse Farm Energy Barn,,434,7987,1,west midlands,uk,,40,40,,Green Hedge,,,,,,planning,2017-11-29,,,,,,,,,,,,,,,,,
Catsbrain Farm,,435,7988,1,south west,uk,,30,30,,Green Hedge,,,,,,planning,2017-11-03,,,,,,,,,,,,,,,,,
Roaring Hill (Resubmission),,436,7989,1,scotland,uk,,30,30,,Renewable Energy Systems (RES),,,,,,planning,2017-12-22,,,,,,,,,,,,,,,,,
Mill Hill National Grid Substation,,437,8009,1,london,uk,,49,49,,Harbour Energy,,,,,,planning,,,,,,,,,,,,,,,,,,
National Grid Minety Substation,,438,8021,1,south west,uk,,49,49,,Harbour Energy,,,,,,planning,2021-01-25,,,,,,,,,,,,,,,,,
Colinglen Road Battery,,439,8033,1,northern ireland,uk,,49,49,,Hannahstown BESS,,,,,,planning,,,,,,,,,,,,,,,,,,
National Grid Axminster Substation,,440,8036,1,south west,uk,,49,49,,Harbour Energy,,,,,,planning,,,,,,,,,,,,,,,,,,
National Grid Enderby Substation,,441,8037,1,east midlands,uk,,49,49,,Harbour Energy,,,,,,planning,2021-02-04,,,,,,,,,,,,,,,,,
Moston Vale,,442,8085,1,north west,uk,,10,10,,Novus Renewable Services,,,,,,construction,2020-11-24,2021-07-31,,,,,,,,,,,,,,,,
Welkin Mill,,443,8055,1,north west,uk,,49,49,,Noriker Power,,,,,,planning,,,,,,,,,,,,,,,,,,
Loudwater Battery Storage Site,,444,8142,1,south east,uk,,40,40,,Capbal,,,,,,construction,2019-05-24,2021-06-10,,,,,,,,,,,,,,,,
"Torrdhuin, Auchteraw Battery Storage Facility",,445,8096,1,scotland,uk,,49,49,,Intelligent Land Investments Group,,,,,,planning,,,,,,,,,,,,,,,,,,
SHB Hire Ltd,,446,8099,1,south east,uk,,20,20,,Gerard Hall Energy,,,,,,planning,2020-05-13,,,,,,,,,,,,,,,,,
Bloxwich Battery,,447,8160,1,west midlands,uk,,41,41,,Gresham House Energy Storage,,,,,,operation,,2019-04-01,2019-07-01,,,,,,,,,,,,,,,
Blackpark Energy Storage (Resubmission),,448,8105,1,scotland,uk,,30,30,,Shires Hamilton,,,,,,planning,2020-12-15,,,,,,,,,,,,,,,,,
Drumcross Battery Storage,,449,8155,1,scotland,uk,,49,49,,Muirhall Energy,,,,,,planning,2018-06-12,,,,,,,,,,,,,,,,,
Richborough Energy Park,,450,8195,1,south east,uk,,49,49,,Richborough Energy Park Limited,,,,,,planning,2021-02-09,,,,,,,,,,,,,,,,,
Lower Dunton Road Battery Storage Facility,,451,8213,1,eastern,uk,,28,28,,Cedar Tech Developments Limited,,,,,,planning,2021-02-05,,,,,,,,,,,,,,,,,
Three Bridges Solar Farm,,452,8220,1,eastern,uk,,15,15,,Pathfinder Clean Energy UK Dev Limited,,,,,,planning,2021-03-10,,,,,,,,,,,,,,,,,
"Platchaig House, Kilmorack - Battery Storage Facility",,453,8248,1,scotland,uk,,49,49,,Whirlwind Renewables,,,,,,planning,,,,,,,,,,,,,,,,,,
Brentwood nergy Storage System,,454,8249,1,eastern,uk,,49,49,,Anesco Limited,,,,,,planning,2021-06-24,,,,,,,,,,,,,,,,,
Newlands Farm Battery Storage Facility Phase 2,,455,8264,1,south east,uk,,40,40,,British Solar Renewables,,,,,,planning,,,,,,,,,,,,,,,,,,
Lakeside Energy Storage Facility,,456,8268,1,yorkshire and humber,uk,,100,100,,Renewable Energy System Limited,,,,,,planning,2021-05-06,,,,,,,,,,,,,,,,,
Guildford Road Battery Storage Facility,,457,8269,1,south east,uk,,14,14,,Conrad Energy (Developments) Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Gerrards Cross Sewage Treatment Works,,458,8271,1,south east,uk,,20,20,,Peak Gen Power,,,,,,planning,,,,,,,,,,,,,,,,,,
Cottom Power Station,,459,8278,1,east midlands,uk,,50,50,,EDF Energy Thermal Generation Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Capenhurst Lane,,460,8283,1,north west,uk,,57,57,,Native River Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
"Park Farm, Herongate Solar Photovoltaic PV Farm",,461,8358,1,eastern,uk,,49,49,,Private Developer,,,,,,planning,,,,,,,,,,,,,,,,,,
Old Gallows Road - Battery storage,,462,8368,1,scotland,uk,,49,49,,Whirlwind Renewables,,,,,,planning,,,,,,,,,,,,,,,,,,
Farburn Place - Energy Storage Facility,,463,8385,1,scotland,uk,,30,30,,Peak Reserve Power Limited,,,,,,planning,2021-09-30,,,,,,,,,,,,,,,,,
Kirkhaw Lane Battery Storage,,464,8430,1,yorkshire and humber,uk,,32,32,,Walker & Son (Hauliers) Limited,,,,,,planning,2021-04-29,,,,,,,,,,,,,,,,,
Minchens Lane Battery Storage Facility,,465,8434,1,south east,uk,,100,100,,Penso Power,,,,,,planning,,,,,,,,,,,,,,,,,,
National Grids Rainhill Substation Battery storage facility,,466,8439,1,north west,uk,,57,57,,Sizing John Limited,,,,,,planning,2021-06-07,,,,,,,,,,,,,,,,,
Trondheim Way Battery energy storage,,467,8455,1,yorkshire and humber,uk,,80,80,,Vox Burns Limited,,,,,,planning,2021-05-14,,,,,,,,,,,,,,,,,
Doverdale - Solar Farm & Battery Storage,,468,8529,1,west midlands,uk,,49,49,,JBM Solar Projects Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Bristol Avenue - Battery Energy Storage Facility,,469,8809,1,north west,uk,,25,25,,Henco International Limited,,,,,,planning,2021-05-11,,,,,,,,,,,,,,,,,
Howick Hall Farm - Battery Storage Facility,,470,8829,1,north west,uk,,49,49,,Penwortham Storage Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
Holt Road - Battery Energy Storage System,,471,8833,1,south west,uk,,49,49,,Mannington Energy Centre Limited,,,,,,planning,,,,,,,,,,,,,,,,,,
