name,city,id,external_id,overwrite,state,country,capacity_mwh,estimate_mwh,power_mw,customer,owner,developer,manufacturer,type,cells,no_of_battery_units,status,date_first_heard,start_construction,start_operation,start_estimated,cost_million,cost_currency,cost_incl_solar,lat,long,coords_hint,coords_hint_2,use_case,notes,project_website,link1,link2,link3,link4
Hybridspeicher AU,,524,SEE900291433160,1,bavaria,germany,8,,16,,,,,,,,operation,,,2018-07-31,,,,,,,,,,,,,,,
Big Battery Lausitz,,526,SEE905930139120,1,brandenburg,germany,52,,66,,,,,,,,operation,,,2020-11-19,,,,,,,,,,,,,,,
GBS 2 KW Bexbach,,527,SEE908096553144,1,saarland,germany,15,,15,,,,,,,,operation,,,2016-08-08,,,,,,,,,,,,,,,
Batteriespeicher Chemnitz GmbH ＆ Co. KG,,528,SEE910324388312,1,saxony,germany,15,,15,,,,,,,,operation,,,2017-04-24,,,,,,,,,,,,,,,
Hybridregelkraftwerk,,529,SEE913862454280,1,bremen,germany,14,,18,,,,,,,,operation,,,2019-03-11,,,,,,,,,,,,,,,
GBS KW Fenne,,530,SEE919443669678,1,saarland,germany,15,,15,,,,,,,,operation,,,2016-10-09,,,,,,,,,,,,,,,
SMAREG 1,,531,SEE931375347240,1,thuringia,germany,10,,10,,,,,,,,operation,,,2020-02-06,,,,,,,,,,,,,,,
Batteriespeicherkraftwerk,,532,SEE933095868289,1,schleswig-holstein,germany,15,,15,,,,,,,,operation,,,2019-05-13,,,,,,,,,,,,,,,
Energiewende-Speicher,,533,SEE935506652999,1,lower saxony,germany,26,,11,,,,,,,,operation,,,2018-08-02,,,,,,,,,,,,,,,
WBS-Tarzow,,534,SEE937857006797,1,mecklenburg-vorpommern,germany,10,,10,,,,,,,,planning,2020-08-25,,,2022-02-01,,,,,,,,,,,,,,
70000000,,535,SEE940316838242,1,bavaria,germany,10,,12,,,,,,,,operation,,,2019-03-20,,,,,,,,,,,,,,,
GBS KW Weiher,,536,SEE941708872783,1,saarland,germany,15,,15,,,,,,,,operation,,,2016-08-28,,,,,,,,,,,,,,,
Im Buckeberg 62 Stromspeicher,,537,SEE946919525862,1,baden-wuerttemberg,germany,13,,13,,,,,,,,planning,2021-10-04,,,2021-12-01,,,,,,,,,,,,,,
BES BEN,,539,SEE963081865633,1,saxony,germany,25,,16,,,,,,,,operation,,,2018-11-14,,,,,,,,,,,,,,,
GBS KW Walsum,,540,SEE964940893804,1,nrw,germany,15,,15,,,,,,,,operation,,,2016-09-30,,,,,,,,,,,,,,,
Q_ESS_Elverlingsen,,541,SEE966091400436,1,nrw,germany,18,,17,,,,,,,,operation,,,2017-07-01,,,,,,,,,,,,,,,
GBS KW Herne,,542,SEE971138728251,1,nrw,germany,15,,15,,,,,,,,operation,,,2016-08-28,,,,,,,,,,,,,,,
BES GRO,,544,SEE976362409624,1,saxony,germany,25,,16,,,,,,,,operation,,,2019-07-18,,,,,,,,,,,,,,,
RRKW Feldheim,,545,SEE976927444749,1,brandenburg,germany,10,,10,,,,,,,,operation,,,2016-07-26,,,,,,,,,,,,,,,
Büttel Speicher,,546,SEE984446277410,1,schleswig-holstein,germany,4,,13,,,,,,,,planning,2020-08-26,,,2022-08-31,,,,,,,,,,,,,,
GBS KW Bexbach,,547,SEE990521990150,1,saarland,germany,15,,15,,,,,,,,operation,,,2016-09-25,,,,,,,,,,,,,,,
Blythe Mesa Solar II,,548,65053,1,california,usa,,224,112,,"Blythe Mesa Solar II, LLC",,,,,,planning,,,,2022-11,,,,,,,,,,,,,,
Chaparral Springs,,549,64864,1,california,usa,,100,50,,"Leeward Asset Management, LLC",,,,,,planning,,,,2022-12,,,,,,,,,,,,,,
"BigBeau Solar, LLC",,550,64993,1,california,usa,,80,40,,"Big Beau Solar, LLC  ",,,,,,construction,,,,2022-04,,,,,,,,,,,,,,
Scarlet Solar (CA),,551,64908,1,california,usa,,80,40,,EDP Renewables North America LLC,,,,,,planning,,,,2022-12,,,,,,,,,,,,,,
Santa Ana Storage 2,,552,64921,1,california,usa,,40,20,,"Johanna Energy Center, LLC",,,,,,construction,,,,2022-04,,,,,,,,,,,,,,
"Rabbitbrush Solar, LLC",,553,64630,1,california,usa,,40,20,,"Leeward Asset Management, LLC",,,,,,construction,,,,2022-08,,,,,,,,,,,,,,
Edwards Sanborn S1,,554,64929,1,california,usa,,22,11,,Terra-Gen Operating Co-Hybrid,,,,,,construction,,,,2022-03,,,,,,,,,,,,,,
Lake Placid Solar Power Plant,,555,62541,1,florida,usa,,34,17,,"Duke Energy Florida, LLC",,,,,,construction,,,,2021-12,,,,,,,,,,,,,,
Mossy Branch Battery Facility,,556,65018,1,georgia,usa,,130,65,,Georgia Power Co,,,,,,planning,,,,2023-10,,,,,,,,,,,,,,
Waiawa Solar Power Hybrid,,557,65058,1,hawaii,usa,,72,36,,Waiawa Solar Power LLC,,,,,,planning,,,,2022-09,,,,,,,,,,,,,,
Beaver Creek I,,558,65019,1,montana,usa,,60,30,,"Beaver Creek Wind I, LLC",,,,,,construction,,,,2023-06,,,,,,,,,,,,,,
Beaver Creek IV,,559,65023,1,montana,usa,,60,30,,"Beaver Creek Wind IV, LLC",,,,,,construction,,,,2023-06,,,,,,,,,,,,,,
Beaver Creek II,,560,65020,1,montana,usa,,40,20,,"Beaver Creek Wind II, LLC",,,,,,construction,,,,2023-06,,,,,,,,,,,,,,
Beaver Creek III,,561,65021,1,montana,usa,,40,20,,"Beaver Creek Wind III, LLC",,,,,,construction,,,,2023-06,,,,,,,,,,,,,,
South Ripley Solar,,562,64911,1,new york,usa,,40,20,,ConnectGen Chautauqua County LLC,,,,,,planning,,,,2023-12,,,,,,,,,,,,,,
Cameron Wind 1 LLC,,563,59118,1,texas,usa,,48,24,,Cameron Wind 1 LLC,,,,,,planning,,,,2022-10,,,,,,,,,,,,,,
Dulles Solar and Storage,,564,65043,1,virginia,usa,,100,50,,Dominion Energy Inc,,,,,,planning,,,,2023-10,,,,,,,,,,,,,,
Dry Bridge Storage,,565,65044,1,virginia,usa,,40,20,,Dominion Energy Inc,,,,,,planning,,,,2022-12,,,,,,,,,,,,,,
Batterie Breitenworbis,,566,SEE977720016904,1,thuringia,germany,10,,10,,,,,,,,operation,,,2021-12-16,,,,,,,,,,,,,,,
Goyder,Burra,567,,,south australia,australia,,1800,900,,neoen,,,,,,construction,2021-03-15,2022-01-17,,2024,3000,AUD,1,-33.649566,139.000287,-1,city,1200MW wind farm support ** 600MW solar support,,,https://www.energy-storage.news/neoen-begins-goyder-renewables-zone-wind-solar-storage-hybrid-project-in-south-australia/,,,
Great Western Battery,Wallerawang,568,,,new south wales,australia,1000,,500,,neoen,,,,,,planning,2021-01-18,,,2023,,,,-33.397397,150.067853,1,location_exact,coal plant replacement,exact location from scoping report pdf,https://greatwesternbattery.com.au,https://www.energy-storage.news/great-western-battery-1000mwh-project-proposed-to-aid-reliability-in-australias-post-coal-age/,https://www.pv-magazine.com/2021/12/17/greenspot-plans-500-mw-1000-mwh-battery-at-former-coal-fired-power-plant-in-australia/,https://majorprojects.planningportal.nsw.gov.au/prweb/PRRestService/mp/01/getContent?AttachRef=SSD-12346552%2120201223T043129.182%20GMT,
Wallerawang 9,Wallerawang,569,,,new south wales,australia,1000,,500,,greenspot,,,,,,planning,2021-12-17,,,2023,400,USD,0,-33.407503,150.091529,1,location_exact,coal plant replacement,exact location from the pdf in sources,https://www.greenspot.com.au/news/wallerawang-9-battery-project-scoping-report/,https://www.pv-magazine.com/2021/12/17/greenspot-plans-500-mw-1000-mwh-battery-at-former-coal-fired-power-plant-in-australia/,https://www.greenspot.com.au/news/uploads/wallerawang-9-battery-project-scoping-report.pdf,,
Crimson,,570,65140,1,california,usa,,400,200,,RE Crimson LLC,,,,,,construction,,,,2022-08,,,,,,,,,,,,,,
"Willow Spring Solar 3, LLC",,571,60325,1,california,usa,,72,36,,"Leeward Asset Management, LLC",,,,,,planning,,,,2023-12,,,,,,,,,,,,,,
Edwards Sanborn S3,,572,64928,1,california,usa,,70,35,,Terra-Gen Operating Co-Hybrid,,,,,,construction,,,,2022-03,,,,,,,,,,,,,,
ENGIE Solidago Solar Project - Hybrid,,573,65304,1,delaware,usa,,24,12,,ENGIE Solidago Solar LLC,,,,,,planning,,,,2024-05,,,,,,,,,,,,,,
Mililani South Solar Farm,,574,57242,1,hawaii,usa,,78,39,,Mililani I Solar LLC,,,,,,construction,,,,2022-07,,,,,,,,,,,,,,
OE_MS6,,575,65291,1,mississippi,usa,,100,50,,OE_MS6,,,,,,planning,,,,2023-12,,,,,,,,,,,,,,
Arida Solar (Hybrid),,576,63841,1,nevada,usa,,370,185,,326FW 8me LLC,,,,,,planning,,,,2024-10,,,,,,,,,,,,,,
Boulder Solar III LLC,,577,65141,1,nevada,usa,,116,58,,174 Power Global Corp.,,,,,,planning,,,,2023-12,,,,,,,,,,,,,,
Noble Solar,,578,65271,1,texas,usa,,250,125,,"BT Noble Solar, LLC",,,,,,construction,,,,2022-06,,,,,,,,,,,,,,
Byrd Ranch Storage,,579,65259,1,texas,usa,,100,50,,Byrd Ranch Storage LLC,,,,,,planning,,,,2022-08,,,,,,,,,,,,,,
"Deer Wood Storage, LLC",,580,65145,1,virginia,usa,,60,30,,"Deer Wood Storage, LLC",,,,,,planning,,,,2025-04,,,,,,,,,,,,,,
Bumpers Solar Farm ,,581,6913,1,buckinghamshire,uk,,13,13,,Anesco,,,,,,operation,2021-12-01,,2020-03-16,,,,,,,,,,,,,,,
Stranoch 2,,582,7306,1,scotland,uk,,20,20,,EDF Energy,,,,,,planning,2021-11-24,,,,,,,,,,,,,,,,,
"Whitelees Hydrogen Production Facility, Solar Farm & Battery Storage",,583,8342,1,scotland,uk,,50,50,,Scottish Power Renewables,,,,,,planning,2021-11-23,,,,,,,,,,,,,,,,,
Rush Green Motors - Battery storage,,584,8987,1,eastern,uk,,49,49,,RNA Energy limited,,,,,,planning,2021-10-06,,,,,,,,,,,,,,,,,
North Tawton Primary Substation - Battery Storage,,585,9275,1,south west,uk,,30,30,,Balance Power Projects Limited,,,,,,planning,2021-11-03,,,,,,,,,,,,,,,,,
Newcastle International Airport Phase 2 - Battery Storage,,586,9756,1,north east,uk,,13,13,,Newcastle International Airport,,,,,,planning,2021-10-04,,,,,,,,,,,,,,,,,
"Scawby Brook, Brigg - Battery Storage",,587,9848,1,yorkshire and humber,uk,,99,99,,Centrica Plc,,,,,,planning,2021-09-09,,,,,,,,,,,,,,,,,
"Braidfield Road, Hardgate - Battery Storage Facility",,588,9869,1,scotland,uk,,50,50,,Intelligent Land Investments Group Plc ,,,,,,planning,2021-11-01,,,,,,,,,,,,,,,,,
"Ipswich Road, Cardiff - Battery Storage ",,589,9910,1,wales,uk,,50,50,,Green Frog Power 214 Limited,,,,,,planning,2021-11-11,,,,,,,,,,,,,,,,,
Douglas West Wind Farm (extension),,590,9957,1,scotland,uk,,20,20,,Greencoat UK Wind PLC,,,,,,planning,2021-11-18,,,,,,,,,,,,,,,,,
Pound Farm Lane - Battery Storage,,591,9969,1,wales,uk,,30,30,,Green Frog Power 214 Limited,,,,,,planning,2021-11-19,,,,,,,,,,,,,,,,,
"Barlow Road, Barlow - Battery Storage",,592,9970,1,yorkshire and humber,uk,,50,50,,Vox Energy Limited,,,,,,planning,2021-11-19,,,,,,,,,,,,,,,,,
Northington Lane - Battery Storage Facility,,593,9992,1,south west,uk,,35,35,,Green Frog Ventures Limited,,,,,,planning,2021-11-23,,,,,,,,,,,,,,,,,
Sundon Sub Station Battery Storage Facility,,594,9998,1,eastern,uk,,50,50,,Clearstone Energy Limited,,,,,,planning,2021-11-10,,,,,,,,,,,,,,,,,
"Mount Road, Castle Gresley - Battery Storage Facility",,595,10012,1,east midlands,uk,,20,20,,Flexion Energy UK Storage Limited,,,,,,planning,2021-11-29,,,,,,,,,,,,,,,,,
Cellarhead - Battery Site,,596,10013,1,west midlands,uk,,349,349,,C&S Energy Limited,,,,,,planning,2021-11-29,,,,,,,,,,,,,,,,,
Kirkhaw Lane - Battery Storage Energy,,597,10022,1,yorkshire and humber,uk,,150,150,,SSE Enterprise Contracting,,,,,,planning,2021-12-20,,,,,,,,,,,,,,,,,
"Electricity Sub Station, Strichen - Battery Storage Facility",,598,10039,1,scotland,uk,,50,50,,Intelligent Land Investments Group plc,,,,,,planning,2021-12-02,,,,,,,,,,,,,,,,,
"Caton Road, Lancaster -  Battery Storage Facility",,599,10047,1,north west,uk,,25,25,,Energi Generation 12 Limited,,,,,,planning,2021-12-02,,,,,,,,,,,,,,,,,
St Dennis - Battery Energy Storage,,600,10058,1,south west,uk,,100,100,,Renewable Connections Ltd / Pivot Power,,,,,,planning,2021-12-02,,,,,,,,,,,,,,,,,
Park Road Battery Storage,,601,10076,1,north west,uk,,10,10,,Arlington Energy Limited Avery Energy,,,,,,planning,2021-11-19,,,,,,,,,,,,,,,,,
"Greystones Road, Grangetown - Battery Energy Storage System",,602,10081,1,north east,uk,,360,360,,Sembcorp Utilities UK Limited,,,,,,planning,2021-11-11,,,,,,,,,,,,,,,,,
"Penn Croft Farm, Crondall - Battery Energy Storage Facility",,603,10163,1,south east,uk,,100,100,,Fleet BESS Limited & SSE Energy Solutions Limited,,,,,,planning,2021-12-24,,,,,,,,,,,,,,,,,
West Marsh Road - Battery Energy Storage System,,604,10173,1,east midlands,uk,1100,,550,,Spalding Energy Park Limited,,,,,,planning,2021-12-28,,,2026,,,,,,,,,,,https://www.great.gov.uk/international/content/investment/opportunities/spalding-battery-energy-storage-system-in-lincolnshire/,,,
"The Transmitting Station, Williton - Battery Storage",,605,10186,1,south west,uk,,20,20,,Elgin Energy ES Co Limited,,,,,,planning,2021-12-30,,,,,,,,,,,,,,,,,
A981 Fraserburgh - Battery Energy Storage,,606,10222,1,scotland,uk,,25,25,,Fraserburgh Energy Limited,,,,,,planning,2021-12-29,,,,,,,,,,,,,,,,,
Upper Geiselittle -  Energy Storage Facility,,607,10225,1,scotland,uk,,49,49,,Whirlwind Energy Storage Limited,,,,,,planning,2021-12-29,,,,,,,,,,,,,,,,,
"Hillcrest Cottage, Shebster - Battery Energy Storage System",,608,10226,1,scotland,uk,,19,19,,Statkraft UK Limited,,,,,,planning,2021-12-24,,,,,,,,,,,,,,,,,
Elland Storage Project,,609,10236,1,yorkshire and humber,uk,,49,49,,UK Battery Storage,,,,,,planning,2020-12-23,,,,,,,,,,,,,,,,,
Lethen Wind Farm  Wind Turbines and Energy Storage,,610,10237,1,scotland,uk,,10,10,,Fred Olsen Renewables Ltd,,,,,,planning,2022-01-10,,,,,,,,,,,,,,,,,
Fordtown Energy Storage (Resubmission),,611,10239,1,scotland,uk,,49,49,,Intelligent Land Investments (ILI),,,,,,planning,2021-02-24,,,,,,,,,,,,,,,,,
Hollandmey Renewable Energy Development,,612,10246,1,scotland,uk,,15,15,,Scottishpower Renewables,,,,,,planning,2021-12-22,,,,,,,,,,,,,,,,,
Doverdale - Solar Farm & Battery Storage,,613,10273,1,west midlands,uk,,49,49,,JBM Solar Projects Limited,,,,,,planning,2021-06-28,,,,,,,,,,,,,,,,,
Patch Elm Lane - Battery Storage ,,614,10282,1,south west,uk,,35,35,,Green Frog Ventures Limited,,,,,,planning,2021-12-20,,,,,,,,,,,,,,,,,
Cheshire Power Station - Battery Storage Facility,,615,10295,1,north west,uk,,45,45,,RWE Generation UK Plc,,,,,,planning,2021-12-22,,,,,,,,,,,,,,,,,
"Ardleigh Road, Little Bromley - Battery Energy Storage",,616,10302,1,eastern,uk,,50,50,,Lawford Power Limited,,,,,,planning,2021-12-23,,,,,,,,,,,,,,,,,
Stoke Lane - Battery Energy Storage,,618,10390,1,eastern,uk,,130,130,,FPC Electric Land Limited,,,,,,planning,2021-12-16,,,,,,,,,,,,,,,,,
Speyslaw Farm - Battery Storage,,619,10394,1,scotland,uk,,19,19,,Elgin Energy EsCo,,,,,,planning,2021-12-16,,,,,,,,,,,,,,,,,
Hummingbird Energy Storage LLC,,620,65395,1,california,usa,,150,75,,"Hummingbird Energy Storage, LLC",,,,,,planning,,,,2023-06,,,,,,,,,,,,,,
Santa Paula Energy Storage LLC,,621,65397,1,california,usa,,60,30,,"Santa Paula Energy Storage, LLC",,,,,,construction,,,,2022-11,,,,,,,,,,,,,,
Black Walnut Energy Storage LLC,,622,65396,1,california,usa,,30,15,,Black Walnut Energy Storage LLC,,,,,,planning,,,,2023-06,,,,,,,,,,,,,,
Homestead Energy Storage LLC,,623,65398,1,california,usa,,28,14,,"Homestead Energy Storage, LLC",,,,,,planning,,,,2024-02,,,,,,,,,,,,,,
Hot Pot Solar,,624,65419,1,nevada,usa,,560,280,,Nevada Power Co,,,,,,planning,,,,2024-12,,,,,,,,,,,,,,
Iron Point Solar (Hybrid),,625,65377,1,nevada,usa,,400,200,,Nevada Power Co,,,,,,planning,,,,2023-12,,,,,,,,,,,,,,
"Wolf Pit Branch Solar, LLC",,626,65437,1,south carolina,usa,,30,15,,"Wolf Pit Branch Solar, LLC",,,,,,construction,,,,2023-11,,,,,,,,,,,,,,
Cunningham Storage,,627,65410,1,texas,usa,,380,190,,"BT Cunningham Storage, LLC",,,,,,planning,,,,2022-12,,,,,,,,,,,,,,
Noria Hondo Solar (Hybrid),,628,65344,1,texas,usa,,150,75,,Noria Hondo Solar LLC,,,,,,planning,,,,2024-09,,,,,,,,,,,,,,
"Roseland Solar Project, LLC",,629,65028,1,texas,usa,,118,59,,"Enel Green Power Roseland Solar, LLC",,,,,,planning,,,,2022-11,,,,,,,,,,,,,,
"Midmill, Kintore - Battery Energy Storage",,630,10701,1,scotland,uk,,49,49,,Gigabox Energy Storage Limited,,,,,,planning,2022-03-01,,,,,,,,,,,,,,,,,
Rusholme Grange,,631,7093,1,yorkshire and humber,uk,,35,35,,Green Hedge Energy,,,,,,planning,2017-12-19,,,,,,,,,,,,,,,,,
Vicarage Drove - Solar farm & Battery storage,,632,8518,1,east midlands,uk,,20,20,,Renewable Connections Developments Limited,,,,,,planning,2022-02-17,,,,,,,,,,,,,,,,,
"Moggerhanger Road, Sandy - Solar Farm",,633,10981,1,eastern,uk,,20,20,,Kach Capital Estates Limited,,,,,,planning,2022-04-11,,,,,,,,,,,,,,,,,
"Battlesbridge Bypass, Rettendon - Battery Storage",,634,9801,1,eastern,uk,,100,100,,Pelagic Energy,,,,,,planning,2022-02-21,,,,,,,,,,,,,,,,,
"Former EON Power Station, Booth Lane - Battery Energy Storage System",,635,10436,1,north west,uk,,20,20,,Bluefield Sandbach Limited,,,,,,planning,2022-01-24,,,,,,,,,,,,,,,,,
Vause Farm - Battery Storage,,636,10989,1,north west,uk,,20,20,,Sirius Renewable Energy Limited,,,,,,planning,2022-04-11,,,,,,,,,,,,,,,,,
"South Thinford Lane, Thinford - Energy Storage",,637,10489,1,north east,uk,,99,99,,Renewable Energy Systems Limited,,,,,,planning,2022-01-28,,,,,,,,,,,,,,,,,
Field House Solar Farm,,638,10970,1,yorkshire and humber,uk,,40,40,,Albanwise Synergy Limited,,,,,,planning,2022-04-11,,,,,,,,,,,,,,,,,
Ferrymuir,,639,7371,1,scotland,uk,,49,49,,Gore Street Energy Storage Fund,,,,,,planning,2019-11-21,1905-07-14,,,,,,,,,,,,,,,,
"Strathruddie, Kinglassie - Solar farm",,640,10828,1,scotland,uk,,20,20,,Renewable Connection Developments Limited,,,,,,planning,2022-03-16,,,,,,,,,,,,,,,,,
Broomloan Road -  Battery Energy Storage,,641,10886,1,scotland,uk,,49,49,,Lifetime Property Limited,,,,,,planning,2022-03-29,,,,,,,,,,,,,,,,,
"Waterswallows Road, Green Fairfield - Battery Storage Equipment",,642,10716,1,east midlands,uk,,16,16,,R & S Energy Limited,,,,,,planning,2022-03-04,,,,,,,,,,,,,,,,,
Model Farm,,643,10687,1,eastern,uk,,49,49,,Tribus Clean Energy,,,,,,planning,2022-01-27,,,,,,,,,,,,,,,,,
Walpole St Andrew - Battery storage ,,644,10876,1,eastern,uk,,100,100,,Alfred Energy Limited,,,,,,planning,2022-03-29,,,,,,,,,,,,,,,,,
Netherlands Way - Battery Energy Facility,,645,10429,1,yorkshire and humber,uk,,80,80,,Volta Energy Group,,,,,,planning,2022-01-06,,,,,,,,,,,,,,,,,
St Ippolyts - Solar Farm & Battery Storage,,646,9695,1,eastern,uk,,12,12,,RNA Energy Limited,,,,,,planning,2022-03-24,,,,,,,,,,,,,,,,,
Brown Edge - Battery Storage,,647,10431,1,west midlands,uk,,49,49,,Anesco,,,,,,planning,2021-03-18,,,,,,,,,,,,,,,,,
"Broadgate, Chadderton - Battery Storage Containers",,648,10690,1,north west,uk,,20,20,,Pelagic Energy,,,,,,planning,2022-03-01,,,,,,,,,,,,,,,,,
Pleasance Road - Battery Energy Facility,,649,9997,1,scotland,uk,,49,49,,Coronation Power Limited,,,,,,planning,2022-03-08,,,,,,,,,,,,,,,,,
Binn Eco Park Wind Farm Energy Storage Facility,,650,9098,1,scotland,uk,,10,10,,Green Cat Renewables Developments,,,,,,planning,2021-07-12,,,,,,,,,,,,,,,,,
"Jamesfield Organic Centre, Phase 1",Abernethy,651,10456,1,fife,uk,,30,30,,Harmony Energy Storage,,,,,,planning,2017-09-18,,,,,,,56.342815,-3.2915692,1,location_exact,,Possible duplicate of 130,,,,,
Plymouth Stor Generation - Battery storage,,652,10432,1,south west,uk,,20,20,,Green Frog Power 214 Limited,,,,,,planning,2022-01-21,,,,,,,,,,,,,,,,,
Blackhillock Electricity Substation - Battery Energy Storage System,,653,9723,1,scotland,uk,,300,300,,Zenobe Energy Limited,,,,,,planning,2022-01-27,,,,,,,,,,,,,,,,,
Hunterston Grid Services Complex - Energy Storage Facility,,654,10535,1,scotland,uk,,400,400,,Amp Energy,,,,,,planning,2022-01-05,,,,,,,,,,,,,,,,,
Kincardine Grid Services Complex - Energy Storage Facility,,655,10536,1,scotland,uk,,400,400,,Amp Energy,,,,,,planning,2022-01-05,,,,,,,,,,,,,,,,,
Carrick Windfarm,,656,10540,1,scotland,uk,,20,20,,ScottishPower Renewables,,,,,,planning,2022-02-03,,,,,,,,,,,,,,,,,
 Frodo Solar and Battery Energy Development,,657,10994,1,scotland,uk,,50,50,,Green Energy International,,,,,,planning,2022-04-12,,,,,,,,,,,,,,,,,
Clachaig Glen,,658,10996,1,scotland,uk,,30,30,,RWE UK,,,,,,planning,2022-04-12,,,,,,,,,,,,,,,,,
Chleansaid Onshore Wind Farm,,659,10997,1,scotland,uk,,20,20,,ESB,,,,,,planning,2022-04-12,,,,,,,,,,,,,,,,,
"Halewick Lane, Sompting - Battery-based Energy Storage Facility",,660,7168,1,south east,uk,,49,49,,Public Power Solutions  (PPS) / West Sussex County Council,,,,,,planning,2019-04-03,,,,,,,,,,,,,,,,,
Dalmarnock Road - Battery Storage,,661,8507,1,scotland,uk,,40,40,,EcoDev Group Limited,,,,,,planning,2022-02-16,,,,,,,,,,,,,,,,,
"Colton - Solar photovoltaic farm, Battery storage",,662,10945,1,eastern,uk,,30,30,,Pathfinder Clean Energy UK Dev Limited,,,,,,planning,2022-04-06,,,,,,,,,,,,,,,,,
Burcot Solar Farm,,663,9374,1,south east,uk,,49,49,,Burcot Solar Farm Limited,,,,,,planning,2022-03-25,,,,,,,,,,,,,,,,,
"Penstone Lane, Penn 1 - Battery Storage Facility",,664,10705,1,west midlands,uk,,50,50,,Anglo Renewables Limited,,,,,,planning,2022-03-01,,,,,,,,,,,,,,,,,
"Penstone Lane, Lower Penn 2 - Battery Storage",,665,10733,1,west midlands,uk,,50,50,,Anglo Renewables Limited,,,,,,planning,2022-03-04,,,,,,,,,,,,,,,,,
"Upper Newton Farm, Upper Tean - Solar Farm & Battery Storage",,666,10978,1,west midlands,uk,,30,30,,Novus Renewable Services Limited,,,,,,planning,2022-04-11,,,,,,,,,,,,,,,,,
Hook Street - Energy Storage Compound,,667,10142,1,south west,uk,,100,100,,Immersa,,,,,,planning,2022-01-19,,,,,,,,,,,,,,,,,
Shindour - Energy Storage Facility,,668,8464,1,scotland,uk,,49,49,,Gigabox Developments Limited,,,,,,planning,2021-12-16,,,,,,,,,,,,,,,,,
"Upton Lane, Nursling - Battery Storage Facility",,669,9673,1,south east,uk,,50,50,,Balance Power Projects Limited,,,,,,planning,2022-01-28,,,,,,,,,,,,,,,,,
Claydon Farm - Solar Farm & Battery Storage,,670,8039,1,south west,uk,,49,49,,JBM Solar Projects 17 Limited,,,,,,planning,2021-12-17,,,,,,,,,,,,,,,,,
East Croftmore - Battery Energy Storage ,,671,10700,1,scotland,uk,,49,49,,Whirlwind Energy Storage Limited,,,,,,planning,2022-03-01,,,,,,,,,,,,,,,,,
Little Crow Solar Park,,672,7175,1,yorkshire and humber,uk,,90,90,,INRG Solar,,,,,,planning,2022-04-05,,,,,,,,,,,,,,,,,
Kirkhaw Lane,,673,7148,1,yorkshire and humber,uk,,20,20,,Walker & Son (Hauliers) Limited,,,,,,operation,2017-10-06,2018-03-01,2018-05-01,,,,,,,,,,,,,,,
"Lanegreat Barr, Great Barr - Battery Storage Facility",,674,10438,1,west midlands,uk,,49,49,,Anesco Limited,,,,,,planning,2022-01-24,,,,,,,,,,,,,,,,,
"Grendon Lakes, Grendon - Battery Storage Facility",,675,10955,1,east midlands,uk,,49,49,,Statera Energy,,,,,,planning,2022-04-06,,,,,,,,,,,,,,,,,
Drumshoreland Road Battery Storage Facility,,676,8920,1,scotland,uk,,49,49,,Sirius Renewables,,,,,,planning,2022-04-11,,,,,,,,,,,,,,,,,
"Dog Trap Lane, Minety - Battery Energy Storage Systems",,677,10488,1,south west,uk,,47,47,,HB222BRI Limited,,,,,,planning,2022-01-28,,,,,,,,,,,,,,,,,
Batterie Eisenach,,678,SEE982806373970,1,thuringia,germany,10,,10,,,,,,,,operation,,,2022-04-08,,,,,,,,,,,,,,,
Anode (Springville) BESS,,679,65458,1,california,usa,,224,112,,Southern California Edison Co,,,,,,planning,,,2022-04-08,2022-08,,,,,,,,,,,,,,
Separator (Etiwanda) BESS,,680,65456,1,california,usa,,224,112,,Southern California Edison Co,,,,,,planning,,,2022-04-08,2022-08,,,,,,,,,,,,,,
Cathode (Hinson) BESS,,681,65457,1,california,usa,,200,100,,Southern California Edison Co,,,,,,planning,,,,2022-08,,,,,,,,,,,,,,
Beartooth Energy Storage LLC,,682,65407,1,montana,usa,,100,50,,"Beartooth Energy Storage, LLC",,,,,,planning,,,,2024-04,,,,,,,,,,,,,,
Lone Star Solar,,683,62235,1,south carolina,usa,,132,66,,Lone Star Solar,,,,,,planning,,,,2023-12,,,,,,,,,,,,,,
Ridgely Energy Farm,,684,65445,1,tennessee,usa,,138,69,,"Leeward Asset Management, LLC",,,,,,planning,,,,2023-06,,,,,,,,,,,,,,
Dickens,,685,65489,1,texas,usa,,400,200,,Broad Reach Power,,,,,,planning,,,,2023-06,,,,,,,,,,,,,,
Hydra,,686,65490,1,texas,usa,,400,200,,Broad Reach Power,,,,,,planning,,,,2023-06,,,,,,,,,,,,,,
Paleo,,687,65491,1,texas,usa,,400,200,,Broad Reach Power,,,,,,planning,,,,2023-06,,,,,,,,,,,,,,
Pavo,,688,65492,1,texas,usa,,350,175,,Broad Reach Power,,,,,,planning,,,,2023-06,,,,,,,,,,,,,,
Tortolas,,689,65493,1,texas,usa,,100,50,,Broad Reach Power,,,,,,planning,,,,2023-06,,,,,,,,,,,,,,
Danville BESS 1,,690,65499,1,virginia,usa,,20,10,,Doc Brown LLC,,,,,,construction,,,,2022-06,,,,,,,,,,,,,,
Kogan Creek,,691,,,queensland,australia,,200,100,CS Energy,,,tesla,megapack,,,planning,2022-03-30,,,2023Q4,150,AUD,,-26.917756,150.746113,2,,,,,https://www.energy-storage.news/queensland-government-invests-in-200mwh-tesla-megapack-bess-at-coal-power-plant-site/,,,
