Old Ref ID,Ref,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,status,mw
,8430,11/05/2021,Walker & Son (Hauliers) Limited,Kirkhaw Lane Battery Storage,Battery,Stand-alone Storage,,32.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,Kirkhaw Lane Knottingley West Yorkshire,West Yorkshire,Yorkshire and Humber,England,WF11 8RD,447904,424901,Wakefield Council,21/00180/FUL,,,,,,25/01/2021,,,,,,,29/04/2021,,,,,,,,planning,32
,8434,02/03/2021,Penso Power,Minchens Lane Battery Storage Facility,Battery,Stand-alone Storage,,100.00,No,,,,,,,,Planning Application Submitted,Application Submitted,OS Ref 464762 159811 Minchens Lane Bramley ,Hampshire,South East,England,RG26,465106,159562,Basingstoke and Deane Borough Council,21/00349/FUL,,,,,,29/01/2021,,,,,,,,,,,,,,,planning,100
,8439,02/03/2021,Sizing John Limited,National Grids Rainhill Substation Battery storage facility,Battery,Stand-alone Storage,,57.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,�Land To The South Of National Grid's Rainhill Substation Lea Green Road Sutton Manor St Helens WA9 4QH,Merseyside,North West,England,WA9 4QH,351018,391685,St Helens Council,P/2021/0094/FUL,,,,,,02/02/2021,,,,,,,07/06/2021,,,,,,,,planning,57
,8455,24/05/2021,Vox Burns Limited,Trondheim Way Battery energy storage,Battery,Stand-alone Storage,,80.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,Land At Trondheim Way Stallingborough North East Lincolnshire,North East Lincolnshire,Yorkshire and Humber,England,DN37 8FD,520507,413759,North East Lincolnshire Council,DM/0120/21/FUL,,,,,,17/02/2021,,,,,,,14/05/2021,,,,,,,,planning,80
,8529,28/06/2021,JBM Solar Projects Limited,Doverdale - Solar Farm & Battery Storage,Battery,Co-located with RE,9233,49.90,No,,,,,,,,Planning Application Submitted,Application Submitted,"Northwest of Doverdale, Southall Lane, Doverdale, Worcester",Worcestershire,West Midlands,England,WR9 0QB,386074,266071,Wychavon District Council,21/01363/FUL,,,,,,22/06/2021,,,,,,,,,,,,,,,planning,49
,8809,17/05/2021,Henco International Limited,Bristol Avenue - Battery Energy Storage Facility,Battery,Stand-alone Storage,,25.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,"281 BRISTOL AVENUE, BLACKPOOL, FY2 0JF",Lancashire,North West,England,FY2 0JF,332442,439745,Blackpool City Council,21/0246,,,,,,21/01/2021,,,,,,,11/05/2021,,,,,,,,planning,25
,8829,18/03/2021,Penwortham Storage Limited,Howick Hall Farm - Battery Storage Facility,Battery,Stand-alone Storage,,49.90,No,,,,,,,,Planning Application Submitted,Application Submitted,Howick Hall Farm Howick Cross Lane Penwortham Preston Lancashire PR1 0NS,Lancashire,North West,England,PR1 0NS,350613,428030,South Ribble Borough Council,07/2021/00252/FUL,,,,,,21/01/2021,,,,,,,,,,,,,,,planning,49
,8833,26/03/2021,Mannington Energy Centre Limited,Holt Road - Battery Energy Storage System,Battery,Stand-alone Storage,,49.90,No,,,,,,,,Planning Application Submitted,Application Submitted,Land off Holt Road,Dorset,South West,England,BH21,407008,105438,East Dorset District Council,3/21/0137/FUL,,,,,,22/01/2021,,,,,,,,,,,,,,,planning,49
,8912,27/04/2021,Intelligent Land Investments Group,Bolfornought Farm Battery Storage Facility,Battery,Stand-alone Storage,,49.90,No,,,,,,,,Planning Application Submitted,Application Submitted,Land 650M South West Of Bolfornought Farm Stirling,Central,Scotland,Scotland,FK7 7LL,282277,693597,Stirling Council,21/00293/FUL,,,,,,14/04/2021,,,,,,,,,,,,,,,planning,49
,8914,27/04/2021,Skelton Peak Power Limited,Skelton Battery Storage Facility,Battery,Stand-alone Storage,,99.00,No,,,,,,,,Planning Application Submitted,Application Submitted,Former Skelton Grange Power Station Site West Road North Leeds,West Yorkshire,Yorkshire and Humber,England,LS10 1RR,433628,431410,Leeds City Council,21/02628/FU,,,,,,08/04/2021,,,,,,,,,,,,,,,planning,99
