Old Ref ID,Ref,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,status,mw
,9470,23/08/2021,BAT-NR30 Limited,Admiralty Road - Battery Energy Storage Facility,Battery,Stand-alone Storage,,49.90,No,,,,,,,,Planning Permission Granted,Awaiting Construction,"South & E/o Admiralty Road, South Denes, Great Yarmouth",Norfolk ,Eastern,England,NR30 3QR,652875,305216,Great Yarmouth Borough Council,06/21/0672/LDO,,,,,,03/08/2021,,,,,,,19/08/2021,,,,,,,,planning,49
,9475,24/08/2021,SSE Enterprise,Kirkhaw Lane - Battery Storage Energy,Battery,Stand-alone Storage,,100.00,No,,,,,,,,Planning Application Submitted,Application Submitted,Site Within Ferrybridge Power Station,West Yorkshire,Yorkshire and Humber,England,WF11 8RB,447882,425231,Wakefield Metropolitan District Council,21/02055/CPL,,,,,,10/08/2021,,,,,,,,,,,,,,,planning,100
,9507,31/08/2021,Aura Power BESS Ltd,Caldwell Road - Battery Storage,Battery,Stand-alone Storage,,90.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"N/O The Royle Farm Business Park, Caldwell Road, Burton on Trent",Derbyshire,East Midlands,England,DE15 9TU,425316,319061,South Derbyshire District Council,DMPA/2021/1221,,,,,,03/08/2021,,,,,,,,,,,,,,,planning,90
,9522,01/09/2021,Spectrum Reserve Limited,Wishaw 49.9 Battery Storage Facility,Battery,Stand-alone Storage,,49.99,No,,,,,,,,Planning Permission Granted,Awaiting Construction,Netherton Street Netherton Wishaw,Lanarkshire,Scotland,Scotland,ML2 0DP,278488,654565,North Lanarkshire Council,20/00946/FUL,,,,,,24/09/2020,,,,,,,24/09/2020,,,,,,,,planning,49
,9545,07/09/2021,Kona Energy Limited,Heysham Energy Storage Project,Battery,Stand-alone Storage,,200.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"N/O A683 Lancaster, Morecambe Bypass, Morecambe ",Lancashire,North West,England,LA3 2FQ,342073,460367,Lancaster City Council,21/01069/FUL,,,,,,17/08/2021,,,,,,,,,,,,,,,planning,200
,9552,08/09/2021,Mcballester Limited,Tiddlywink Barn Battery Storage Power Plant,Battery,Stand-alone Storage,,20.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"The Barn south east of 8 Tiddlywink, South From Yatton Keynell To Crossroads, Yatton Keynell, Chippenham",Wiltshire,South West,England,SN14 7BY,387216,175785,Wiltshire Council,PL/2021/07610,,,,,,24/08/2021,,,,,,,,,,,,,,,planning,20
,9563,09/09/2021,Energi Generation,Davies Road - Battery Storage,Battery,Stand-alone Storage,,25.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Davies Road, Blackburn",Lancashire,North West,England,BB1 3HR,370729,428713,Hyndburn Borough Council,11/21/0483,,,,,,04/08/2021,,,,,,,,,,,,,,,planning,25
,9565,09/09/2021,Cheshire East Council,Middlewich Road - Solar Photovoltaics & Battery Storage,Battery,Co-located with RE,8522,25.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Land Adjacent Councils Composting Plant, Middlewich Road, Crewe",Cheshire,North West,England,CW1 5NG,372231,357305,Cheshire East Council,21/4490N,,,,,,20/08/2021,,,,,,,,,,,,,,,planning,25
,9584,13/09/2021,Arlington Energy Limited,"Astra Centre, Royal Barn Road - Energy Storage",Battery,Stand-alone Storage,,40.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"R/o Astra Centre, Royal Barn Road, Rochdale",Lancashire,North West,England,OL11 3DT,388254,411131,Rochdale borough Council,21/01098/FUL,,,,,,02/09/2021,,,,,,,,,,,,,,,planning,40
,9608,15/09/2021,Newton Energi Limited,Winterton Road - Battery Energy Storage,Battery,Stand-alone Storage,,95.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"N/O Gala Bingo, Winterton Road, Scunthorpe",North Lincolnshire,Yorkshire and Humber,England,DN15 0DH,490022,412038,North Lincolnshire Council,PA/2021/1291,,,,,,12/08/2021,,,,,,,,,,,,,,,planning,95
,9626,16/09/2021,Richborough Energy Park Limited,Richborough Energy Park - Phase 2,Battery,Stand-alone Storage,,71.60,No,,,,,,,,Planning Permission Granted,Awaiting Construction,Richborough Energy Park,Kent,South East,England,CT13 9NL,633075,162290,Thanet District Council,F/TH/21/0305,,,,,,05/03/2021,,,,,,,30/04/2021,,,,,,,,planning,71
,9653,20/09/2021,Private Developer,Bredbury Substation - Battery Storage Facility,Battery,Stand-alone Storage,,49.90,No,,,,,,,,Planning Application Submitted,Application Submitted,"Bredbury Substation, Stockport Road West, Bredbury, Stockport",Cheshire,North West,England,SK6 2BP,391199,390789,Stockport Metropolitan Borough Council,DC/082085,,,,,,10/09/2021,,,,,,,,,,,,,,,planning,49
,9668,21/09/2021,FPC Industry & Enterprise 2 Limited,The Brickmakers Arms Battery,Battery,Stand-alone Storage,,20.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"The Brickmakers Arms Ph Woburn Road, Kempston Hardwick Bedford",Bedfordshire,Eastern,England,MK43 9AH,502115,245302,Bedford Borough Council,21/00300/FUL,,,,,,02/02/2021,,,,,,,,,,,,,,,planning,20
,9691,23/09/2021,Third Energy,Third Energy UK Gas Limited - Battery Energy Storage,Battery,Stand-alone Storage,,100.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Third Energy Uk Gas Limited, Malton Road, West Knapton, Malton",North Yorkshire,Yorkshire and Humber,England,YO17 8JF,488746,477025,Ryedale District Council,21/01220/FUL,,,,,,21/08/2021,,,,,,,,,,,,,,,planning,100
,9708,27/09/2021,British Solar Renewables,Tanners Lane - 40 MW Battery Energy Storage Facility (Phase One),Battery,Stand-alone Storage,,40.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,Newlands Farm Tanners Lane Fareham,Hampshire,South East,England,PO14 1BL,457168,103930,Fareham Borough Council,P/19/1019/FP,,,,,,02/09/2019,,,,,,,26/11/2019,,,,,,,,planning,40
,9760,04/10/2021,Balance Power Projects Limited,"Upton Lane, Nursling - Battery Storage Facility",Battery,Stand-alone Storage,,50.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Upton Lane, Nursling, Southampton",Hampshire,South East,England,SO16 0XY,436975,116605,Test Valley Borough Council,21/02799/FULLS,,,,,,27/09/2021,,,,,,,,,,,,,,,planning,50
,9763,07/10/2021,Riverside Estates (NW) Limited,Cholmondeley Road - Battery Storage,Battery,Stand-alone Storage,,100.00,No,,,,,,,,Planning Application Submitted,Application Submitted,The South East Of Junction Between Weaver View And Cholmondeley Road Runcorn,Cheshire,North West,England,WA7 4XU,352465,379877,Halton Borough Council,21/00565/FUL,,,,,,29/09/2021,,,,,,,,,,,,,,,planning,100
,9774,07/10/2021,Pivot Power,Slough Road - Battery Storage,Battery,Stand-alone Storage,,57.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Northern Part Of Former Woodlands Park Landfill Site, S/o Slough Road, Iver Heath, Iver",Buckinghamshire,South East,England,SL0 0EA,503617,183197,South Bucks District Council,PL/21/3644/FA,,,,,,29/09/2021,,,,,,,,,,,,,,,planning,57
