Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),CfD Allocation Round,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,lat,long,status,mw
,11793,14/11/2022,Anglo Renewables Limited,"Says Court Farm, Coalpit Heath - Battery Energy Storage",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,Says Court Farm Badminton Road Coalpit Heath,South Gloucestershire ,South West,England,BS36 2NY,368916,181728,South Gloucestershire District Council,P22/03920/F ,,,,,,20/07/2022,,,,,,,02/11/2022,,,,02/11/2025,,,,51.533595,-2.449525,planning,50
,11808,11/11/2022,Harmony Energy Limited,"Gleniston, Auchtertool - Battery Storage Facility",Battery,Stand-alone Storage,,49.5,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,Battery Storage Facility Gleniston Auchtertool ,Fife,Scotland,Scotland,KY5 0AX,321044,691852,Fife Council,22/02323/FULL,,,,,,12/07/2022,,,,,,,09/11/2022,,,,09/11/2025,,,,56.11287,-3.271262,planning,49
,11810,08/08/2022,Pelagic Energy,"Fairholme, Minety - Battery Storage",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,10488,"Dog Trap Lane , Minety",Wiltshire,South West,England,SN16 9PW,401600,190173,Wiltshire Council,PL/2022/05412,,,,,,14/07/2022,,,,,,,,,,,,,,,51.610387,-1.97829,planning,50
,11812,08/08/2022,Penso Power Limited,"Stonehill, Minety",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Stonehill, Minety",Wiltshire,South West,England,SN16 9DX,399669,189717,Wiltshire Council,PL/2022/05504,,,,,,20/07/2022,,,,,,,,,,,,,,,51.606289,-2.006175,planning,50
,11880,15/08/2022,Anglo Renewables Limited,Whites Farm - Battery Storage,Battery,Stand-alone Storage,,49.9,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Whites Farm Barleylands Road,Essex,Eastern,England,SS15 4BG,569727,191351,Basildon Council,22/01108/FULL,,,,,,29/07/2022,,,,,,,,,,,,,,,51.595436,0.449008,planning,49
,11905,28/11/2022,Private Developer,"Rectory Farm, Rectory Lane - Battery Storage",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Rectory Farm Rectory Lane Upton Warren,Worcestershire,West Midlands,England,B61 7EL,393116,267855,Wychavon Council,W/22/02326/FUL,,,,,,16/11/2022,,,,,,,,,,,,,,,52.308764,-2.102391,planning,50
,11948,05/01/2023,"Hamilton March
","Hillside Farm, Lancaster Road - Battery Storage",Battery,Stand-alone Storage,,100,No,,,,,,,,,Revised,Revised,12964,,Hillside Farm Lancaster Road Heaton With Oxcliffe ,Lancashire,North West,England,LA3 3ET,344285,460632,Lancaster Council,22/01035/FUL,,,,,,18/08/2022,24/10/2022,,,,,,,,,,,,,,54.03864,-2.852232,planning,100
,11987,05/09/2022,RES Limited,Sclenteuch Wind Farm ,Battery,Co-located with RE,9930,45,No,,,,,,,,,Planning Application Submitted,Application Submitted,,4612,"Sclenteuch Wind Farm, Cumnock",Strathclyde,Scotland,Scotland,KA6 7LN,240700,607500,Scottish Government (S36),ECU00003318,,,,,,12/07/2022,,,,,,,,,,,,,,,55.335658,-4.513053,planning,45
,11995,06/09/2022,Pivot Power,"Braintree Road, Cressing - Battery Storage",Battery,Stand-alone Storage,,57,No,,,,,,,,Ground,Planning Application Submitted,Application Submitted,,7161,"Electricity Sub Station Site, Braintree Road, Cressing, Braintree",Essex,Eastern,England,CM7 3NA,577266,222805,Braintree District Council,22/02180/FUL,,,,,,17/08/2022,,,,,,,,,,,,,,,51.875638,0.573744,planning,57
,12056,09/09/2022,Whirlwind Energy Storage Limited,"Househill House, Househill -  Battery Storage",Battery,Stand-alone Storage,,49.9,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,300M SE Of Househill House Househill Nairn,Highland,Scotland,Scotland,IV12 5RX,288770,855471,Highlands Council,22/03638/FUL,,,,,,01/09/2022,,,,,,,,,,,,,,,57.575557,-3.861558,planning,49
,12080,16/09/2022,Executive Resource Group,Sandy Knowe Wind Farm Extension,Battery,Co-located with RE,12079,28.4,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Sandy Knowe Wind Farm, Kirkconnell, Sanquhar",Dumfries and Galloway,Scotland,Scotland,DG4 6JY,276668,610480,Scottish Government (S36),ECU00003274,,,,,,18/08/2022,,,,,,,,,,,,,,,55.372765,-3.947719,planning,28
,12125,20/09/2022,Infra Balance New Energy,"Lancaster Power Extension, Middleton Road - Energy Storage Facility",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"S/O Middleton Clean Energy Plant, Middleton Road, Middleton, Morecambe",Lancashire,North West,England,LA3 3NT,341641,459265,Lancaster City Council,22/00839/FUL ,,,,,,08/09/2022,,,,,,,,,,,,,,,54.026063,-2.892336,planning,50
,12174,27/09/2022,STOR 107 Limited,"Hele Manor Farm, Bradford On Tone - Battery Storage System",Battery,Stand-alone Storage,,20,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Hele Manor Farm, Hele Road, Bradford on Tone",Somerset,South West,England,TA4 1AH,318587,124491,Somerset West & Taunton,07/22/0013,,,,,,07/09/2022,,,,,,,,,,,,,,,51.014013,-3.161939,planning,20
,12206,12/01/2023,Alcemi Storage Development Limited,Coalburn II Energy Storage Facility - Battery Storage Facility,Battery,Stand-alone Storage,,1000,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Broken Cross Open Cast Mine Tower Road Douglas Lanark ,South Lanarkshire,Scotland,Scotland,ML11 9PB,285396,636539,Scottish Government (S36),ECU00004698,,,,,,06/12/2022,,,,,,,,,,,,,,,55.608914,-3.82084,planning,1000
,12224,05/10/2022,Leeds Power Limited,"Redcote Lane, Armley - Battery Storage Facility",Battery,Stand-alone Storage,,60,No,,,,,,,,,Planning Application Submitted,Application Submitted,,7111,Storage Land Adjacent 4 Redcote Lane Burley,West Yorkshire,Yorkshire and Humber,England,LS4 2AL,427165,434485,Leeds City Council,22/05849/FU,,,,,,15/09/2022,,,,,,,,,,,,,,,53.805956,-1.588989,planning,60
,12293,13/10/2022,Tag Energy,Hawkers Hill Energy Park,Battery,Stand-alone Storage,,20,,,,,,,,,,Operational,Operational,,,"Hawkers Hill Farm, : Shaftesbury Road, Motcombe",Dorset,South West,England,SP7 9NP,385168,123811,Dorset Council,2/2017/1066/FUL,,,,,,28/07/2017,,,,,,,22/09/2017,,,,22/09/2020,05/05/2020,03/10/2022,,51.013484,-2.212803,operation,20
,12297,18/11/2022,BayWa r.e. UK Limited,"Back Lane, Skerne - Solar Farm & Battery Storage",Battery,Co-located with RE,12296,30,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Back Lane, Skerne, Driffield",East Riding of Yorkshire,Yorkshire and Humber,England,YO25 9HP,504494,455316,East Riding Of Yorkshire Council,20/01962/STPLF,,,,,,10/07/2020,,,,,,,23/10/2020,,,,23/10/2023,,,,53.983342,-0.407987,planning,30
,12303,17/10/2022,Flexion Energy UK Storage,"Greenbank Caravan & Trailers, Hillhead Of Phingask - Battery Storage",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Adjacent To Greenbank Caravan And Trailers Hillhead Of Phingask,Aberdeenshire,Scotland,Scotland,AB43 8QL,405243,856712,Aberdeenshire Council,APP/2022/1988,,,,,,30/09/2022,,,,,,,,,,,,,,,57.600393,-1.913937,planning,50
,12348,19/10/2022,Greenfield Energy Consultancy Limited,"Ryton End, Barston - Battery Storage",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Ryton End Barston ,West Midlands,West Midlands,England,B92 0LA,421520,278551,Solihull Council,PL/2022/02068/PPFL,,,,,,27/09/2022,,,,,,,,,,,,,,,52.404549,-1.685104,planning,50
,12349,19/10/2022,Brockwell Energy Limited,"Killoch Depot, Killoch Colliery - Battery Storage",Battery,Stand-alone Storage,,49.9,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Killoch Depot Killoch Colliery Off A70 West Of Ochiltree Ochiltree,Ayrshire,Scotland,Scotland,KA18 2RL,248760,620473,East Ayrshire Council,22/0405/PP,,,,,,28/09/2022,,,,,,,,,,,,,,,55.454673,-4.393136,planning,49
,12351,19/10/2022,Pivoted Power Llp,"Sellindge Substation, Church Lane - Battery Storage",Battery,Stand-alone Storage,,57,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"West of National Grid Converter Station, Church Lane, Aldington,",Kent,South East,England,TN25 6AF,608362,138246,Ashford Council,PA/2022/2544,,,,,,27/09/2022,,,,,,,,,,,,,,,51.10563,0.974985,planning,57
,12360,19/10/2022,Enso Green Holdings B Limited,"Pound Road, Hawkchurch - Battery Energy Storage",Battery,Stand-alone Storage,,120,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Pound Road, Ne/O Axminster National Grid Substation Pound Road, Hawkchurch, Axminster",Devon,South West,England,EX13 5XN,335085,99114,East Devon District Council,22/2216/MFUL,,,,,,05/10/2022,,,,,,,,,,,,,,,50.787945,-2.922272,planning,120
,12415,24/10/2022,Sunny Oaks Renewable Energy Park Limited,Sunny Oaks Renewable Energy Park,Battery,Co-located with RE,12054,28.5,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Se/O Whiterails Road, W/O Briddlesford Road, Wootton, Ryde",Isle of Wight,South East,England,PO33 4RL,453171,91100,Isle of Wight Council,22/01585/FUL,,,,,,05/09/2022,,,,,,,,,,,,,,,50.717104,-1.248203,planning,28
,12455,28/10/2022,Green Frog Power Limited,"John Green Frog Power Compound, John North Road - Battery System",Battery,Stand-alone Storage,,20,No,,,,,,,,,Planning Application Submitted,Application Submitted,,," Tir John Green Frog Power Compound Tir, John North Road, Port Tennant ",West Glamorgan,Wales,Wales,SA1 8NS ,268678,193526,Swansea Council,2022/2356/FUL,,,,,,17/10/2022,,,,,,,,,,,,,,,51.625182,-3.898523,planning,20
,12467,28/10/2022,Keith Renewables Limited,"Electricity Substation, Westerton Road - Battery Storage",Battery,Stand-alone Storage,,49.9,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Adjacent To Electricity Substation Westerton Road ,Grampian,Scotland,Scotland,AB55 5NR,343853,850444,Moray Council,22/01488/APP,,,,,,13/10/2022,,,,,,,,,,,,,,,57.540623,-2.939551,planning,49
,12483,31/10/2022,Eggborough Power Limited,"Eggborough Power Station, Selby Road - Battery Storage",Battery,Stand-alone Storage,,500,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Eggborough Power Station Selby Road Eggborough,East Riding of Yorkshire,Yorkshire and Humber,England,DN14 0BS,457530,424464,Selby Council,2022/1105/FULM,,,,,,06/10/2022,,,,,,,,,,,,,,,53.713432,-1.129813,planning,500
,12503,03/11/2022,Aura Power BESS Limited,"Capenhurst Lane, Capenhurst - Battery Storage",Battery,Stand-alone Storage,,100,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,South of Capenhurst Lane Capenhurst ,Cheshire,North West,England,CH66 2NT,337548,373791,Cheshire West & Chester Council,22/03585/FUL,,,,,,22/09/2022,,,,,,,,,,,,,,,53.257431,-2.937607,planning,100
,12524,03/11/2022,Ecclesfield Power Limited,"Yarra Industrial Estate, Loicher Lane - Battery Storage",Battery,Stand-alone Storage,,20,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Yarra Industrial Estate North Side Of Loicher Lane Ecclesfield,South Yorkshire,Yorkshire and Humber,England,S35 9XN,436563,394428,Sheffield Council,22/03914/FUL,,,,,,26/10/2022,,,,,,,,,,,,,,,53.445358,-1.45098,planning,20
,12529,04/11/2022,Eelpower Limited,Norwich Road Industrial Estate,Battery,Stand-alone Storage,,50,No,,,,,,,,,Under Construction,Under Construction,,6958,Land Within Norwich Road Industrial Estate West Of Sub Station And North Of Halesworth Business Park Norwich Road Halesworth ,Suffolk,Eastern,England,IP19 8QJ,639014,278928,Suffolk Coastal District Council,DC/21/0521/FUL,,,,,,03/02/2021,,,,,,,26/03/2021,,,,26/03/2024,01/04/2022,,,52.356262,1.508561,construction,50
,12571,07/11/2022,Hydrock,"Aspley House Farm, Aspley Lane -  Battery Storage Facility",Battery,Stand-alone Storage,,10,No,,,,,,,,,Planning Application Submitted,Application Submitted,,, Aspley House Farm Aspley Lane Slindon Stafford ,Staffordshire ,West Midlands,England,ST21 6FB ,381732,333103,Stafford Borough Council,22/36378/FUL,,,,,,13/10/2022,,,,,,,,,,,,,,,52.895059,-2.272987,planning,10
,12649,16/11/2022,Newton Energi Limited,"Derehams Farm, Derehams Lane - Battery Storage",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Derehams Farm Derehams Lane Loudwater ,Buckinghamshire,South East,England,HP10 9RR,490531,191093,Wycombe Council,22/07255/FUL,,,,,,08/11/2022,,,,,,,,,,,,,,,51.611399,-0.693977,planning,50
,12683,23/11/2022,Field Devco Limited,"Walpole Sub Station, Walpole Bank - Battery Storage",Battery,Stand-alone Storage,,100,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Opposite Walpole Sub Station Walpole Bank Walpole St Andrew ,Cambridgeshire,Eastern,England,PE14 7HZ,549286,316464,Kings Lynn and West Norfolk Council,22/02021/F,,,,,,08/11/2022,,,,,,,,,,,,,,,52.725225,0.209119,planning,100
,12691,12/01/2023,Boom Developments Limited,"Misslebrook Farm, Botley Road - Battery Storage",Battery,Stand-alone Storage,,60,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Misslebrook Farm Botley Road North Baddesley,Hampshire,South East,England,SO52 9EE,439785,119803,Test Valley Council,22/03346/FULLS,,,,,,03/01/2023,,,,,,,,,,,,,,,50.976271,-1.434694,planning,60
,12694,23/11/2022,STOR Power Utilities Limited,"Freshfields, Fairy Lane - Battery Storage",Battery,Stand-alone Storage,,99.9,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Freshfields Fairy Lane,Cheshire,North West,England,M33 2JU,381343,391464,Trafford Council,109463/FUL/22,,,,,,25/10/2022,,,,,,,,,,,,,,,53.419642,-2.282192,planning,99
,12697,23/11/2022,Pivoted Power Llp,"Landulph, Ellbridge Lane - Battery Storage Facility",Battery,Stand-alone Storage,,49.9,No,,,,,,,,,Planning Application Submitted,Application Submitted,,7051,Adjacent To Landulph National Grid 400kV Substation Ellbridge Lane Ellbridge ,Cornwall,South West,England,PL12 6PU,240368,63243,Cornwall Council,PA22/10000,,,,,,08/11/2022,,,,,,,,,,,,,,,50.447258,-4.249736,planning,49
,12698,23/11/2022,Toton Battery Storage Limited,"Southfields Farm, Common Lane - Battery Storage",Battery,Stand-alone Storage,,130,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Southfields Farm Common Lane Bramcote,Nottinghamshire,East Midlands,England,NG9 3DT,450375,336923,Broxtowe Council,22/00799/FUL,,,,,,04/11/2022,,,,,,,,,,,,,,,52.927361,-1.25209,planning,130
,12706,24/11/2022,Solar 21 Renewable Energy Limited,North Lincolnshire Green Energy Park,Battery,Co-located with RE,11621 & 12707,30,Yes,,,,,,,,,Planning Application Submitted,Application Submitted,,7854,"Flixborough Wharf, Flixborough Industrial Estate, Scunthorpe",North Lincolnshire,Yorkshire and Humber,England,DN15 8SE,486007,414482,The Planning Inspectorate - National Infrastructure,EN010116,,,,,,31/05/2022,,,,,,,,,,,,,,,53.619827,-0.701206,planning,30
,12725,28/11/2022,Zenobe Energy Limited,"National Grid Electricity Substation, Capenhurst Lane - Battery Storage",Battery,Stand-alone Storage,,100,No,,,,,,,,,Under Construction,Under Construction,,,"S/O National Grid Electricity Substation, Capenhurst Lane, Capenhurst, Chester",Cheshire,North West,England,CH1 6HE,336493,373743,Cheshire West & Chester Council,20/03681/FUL,,,,,,07/10/2020,,,,,,,01/02/2021,,,,01/02/2024,01/06/2021,,,53.256874,-2.95341,construction,100
,12727,28/11/2022,Vattenfall,Ourack,Battery,Co-located with RE,5949,50,,,,,,,,,,Planning Application Submitted,Application Submitted,,,6km north of Granton-on-Spey,Highland,Scotland,Scotland,,305000,838876,Scottish Government (S36),ECU00001999,,,,,,18/10/2022,,,,,,,,,,,,,,,57.430257,-3.583832,planning,50
,12729,28/11/2022,Aura Power Storage Solutions,Newburn Bridge Road - Battery Storage Facility,Battery,Stand-alone Storage,,100,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Newburn Bridge Road, Btw Flogas & Blaydon Caravan, Blaydon on Tyne",Tyne And Wear,North East,England,NE21 4NT,416701,564546,Gateshead Council,DC/21/00922/FUL,,,,,,16/08/2021,,,,,,,31/03/2022,,,,31/03/2025,,,,54.97525,-1.740618,planning,100
,12734,28/11/2022,Vox Energy Limited,"Barlow Road, Barlow Road - Battery Storage",Battery,Stand-alone Storage,,80,No,,,,,,,,,Planning Application Submitted,Application Submitted,,9970,Home Farm Barlow Road Barlow,North Yorkshire,Yorkshire and Humber,England,YO8 8FX,462213,431171,Selby District Council,2022/1257/FULM,,,,,,08/11/2022,,,,,,,,,,,,,,,53.773171,-1.057521,planning,80
,12780,05/12/2022,Balnacraig Battery Storage Limited,"Alness Grid Sub Station, Mid Balnacraig - Battery Storage Facility",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Alness Grid Sub Station, Mid Balnacraig, Alness ",Highland,Scotland,Scotland,IV17 0XL,264300,870800,Highland Council,22/05167/FUL,,,,,,23/11/2022,,,,,,,,,,,,,,,57.706449,-4.279,planning,50
,12789,05/12/2022,Newton Energi Limited,"Green Lane, Thurcroft - Battery Energy Storage Facility",Battery,Stand-alone Storage,,85,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Green Lane, Thurcroft, Rotherham",South Yorkshire,Yorkshire and Humber,England,S66 9JD,448690,389778,Rotherham Metropolitan Borough Council,RB2022/1767,,,,,,25/11/2022,,,,,,,,,,,,,,,53.402586,-1.269129,planning,85
,12791,06/12/2022,Warrington Borough Council / Statkraft,Cirencester Solar Farm,Battery,Co-located with RE,5276,10,,,,,,,,,,Operational,Operational,,,"Land Parcel East Of, Wilpit Lane, Preston, Cirencester",Gloucestershire,South West,England,GL7 5,405507,201350,Cotswold District Council,15/01923/FUL,,,,,,08/05/2015,,,,,,,17/09/2015,,,,17/09/2018,06/09/2018,13/10/2022,,51.710858,-1.921697,operation,10
,12803,12/12/2022,Capbal Limited,"Derehams Farm, Derehams Lane - Battery Storage",Battery,Stand-alone Storage,,40,No,,,,,,,,,Planning Application Submitted,Application Submitted,,8142,"Derehams Farm, Derehams Lane, Loudwater, High Wycombe",Buckinghamshire,South East,England,HP10 9RR,490531,191093,Buckinghamshire Council ,22/08045/FUL,,,,,,14/11/2022,,,,,,,,,,,,,,,51.611399,-0.693977,planning,40
,12804,12/12/2022,Conrad Energy (Developments) Limited,"Armshead Farm, Armshead Road - Battery Energy Storage Facility",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Adj Armshead Farm, Armshead Road, Werrington, Stoke on Trent",Staffordshire,West Midlands,England,ST9 0NB,393611,348353,Staffordshire Moorlands District Council,SMD/2022/0574,,,,,,21/11/2022,,,,,,,,,,,,,,,53.03242,-2.09672,planning,50
,12815,12/12/2022,Clinton Devon Estates,"Blackhill Quarry, Woodbury - Battery Energy Storage Facility",Battery,Stand-alone Storage,,60,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Blackhill Quarry, Woodbury, Exeter",Devon,South West,England,EX5 1HD,302890,85785,"East Devon District Council
",22/2546/MFUL,,,,,,18/11/2022,,,,,,,,,,,,,,,50.663611,-3.375369,planning,60
,12821,12/12/2022,ESB Asset Development UK Ltd,Chesters - Millmoor Rig Wind Farm & Battery Energy Storage,Battery,Co-located with RE,10715,20,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"SW/O Chesters, Harwick",Borders,Scotland,Scotland,TD9 8TW,363203,608629,Scottish Borders Council,ECU00003426,,,,,,28/11/2022,,,,,,,,,,,,,,,55.370264,-2.582131,planning,20
,12823,12/12/2022,Elgin Energy Es Co Limited,Fraserburgh Road - Kirkton Solar PV Farm & Energy Storage Facility,Battery,Co-located with RE,12822,20,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"E/O A90 Peterhead to Fraserburgh Road, Se/O St Fergus Village, Peterhead",Grampian,Scotland,Scotland,AB42 3HD,409528,852212,Scottish Government (S36),ECU00003226,,,,,,11/02/2021,,,,,,,22/12/2022,,,,22/12/2027,,,,57.559904,-1.842417,planning,20
,12830,12/12/2022,Bengrove Bess Limited,"Bengrove Farm, Base Lane - Battery Storage",Battery,Stand-alone Storage,,49.9,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Bengrove Farm, Base Lane, Sandhurst",Gloucestershire,South West,England,GL2 9NU,383069,222755,Tewkesbury Borough Council,22/01231/FUL,,,,,,15/11/2022,,,,,,,,,,,,,,,51.903075,-2.247495,planning,49
,12876,19/12/2022,Kirkton Wind Farm Limited,Kirkton Energy Farm,Battery,Co-located with RE,9705,20,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"1800M SW Of Kirkton Cemetery, Melvich",Highland,Scotland,Scotland,KW14,309643,967827,Scottish Government (S36),ECU00003244,,,,,,09/11/2022,,,,,,,,,,,,,,,58.589,-3.556003,planning,20
,12877,19/12/2022,E Power Limited,Tomchrasky Estate Wind farm,Battery,Co-located with RE,8364,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,900m Ne/O Beinn An T-Sidhein Dalchreichart,Highland,Scotland,Scotland,IV3,229056,812688,Scottish Government (S36),ECU00004663,,,,,,21/11/2022,,,,,,,,,,,,,,,57.173078,-4.829155,planning,50
,12904,19/12/2022,Shell Green Limited,"St Michaels Road, Ditton Road - Battery Storage",Battery,Stand-alone Storage,,14,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,West Of St Michaels Road Ditton Road ,Cheshire,North West,England,WA8 0TH,349383,384918,Halton Council,22/00623/FUL,,,,,,28/11/2022,,,,,,,,,,,,,,,53.358703,-2.762001,planning,14
,12909,20/12/2022,24 Power Limited,"Bradford West, Harrop Lane, Wilsden - Battery Storage",Battery,Stand-alone Storage,,100,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Harrop Lane, Wilsden, Bradford",West Yorkshire,Yorkshire and Humber,England,BD15 0BZ,409262,434942,Bradford City of,22/05010/MAF,,,,,,08/12/2022,,,,,,,,,,,,,,,53.810686,-1.860826,planning,100
,12920,22/12/2022,Forepower Limited,J3 Business Park - Battery Energy Storage Facility,Battery,Stand-alone Storage,,10,No,,,,,,,,,Planning Application Submitted,Application Submitted,,6979,"J3 Business Park, Wright Business Park, Balby Carr Bank, Balby,  Doncaster",South Yorkshire,Yorkshire and Humber,England,DN4 8DE,457948,401050,Doncaster Metropolitan Borough Council,22/02368/FUL,,,,,,26/10/2022,,,,,,,,,,,,,,,53.50296,-1.127826,planning,10
,12936,22/12/2022,Coventry Energy Storage Limited,"Hodgetts Lane, Berkswell - Electricity Storage Facility",Battery,Stand-alone Storage,,49.9,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"E/O Hodgetts Lane, Berkswell, Solihull",West Midlands,West Midlands,England,CV7 7DF,426599,276542,Solihull Metropolitan Borough Council,PL/2022/02581/PPFL,,,,,,08/12/2022,,,,,,,,,,,,,,,52.386266,-1.610608,planning,49
,12941,22/12/2022,Low Carbon Solar Park 20 Limited,"Reeds Solar Farm, Alders Road - Solar Farm & Battery Storage",Battery,Co-located with RE,12940,20,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Reeds Solar Farm Alders Road Colts Hill,Kent,South East,England,TN12 6SR,564495,143876,Tunbridge Wells Council,22/03563/FULL,,,,,,15/12/2022,,,,,,,,,,,,,,,51.170471,0.351573,planning,20
,12952,23/12/2022,Electric Works,"Long Pasture Farm, Little Stainton - Solar Farm",Battery,Co-located with RE,12951,40,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,The South Of Long Pasture Farm Little Stainton,Cleveland,North East,England,TS21 1HW,434248,519617,Darlington Council,22/01329/FUL,,,,,,16/12/2022,,,,,,,,,,,,,,,54.57062,-1.471781,planning,40
,12959,04/01/2023,Anglo Renewables,Lowlands Farm - Battery Storage,Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,11399,"adj to M5 Motorway, Lowlands Farm, Illey Lane, Halesowen",West Midlands,West Midlands,England,B62 0HJ,398292,281620,Dudley Council,P22/1733,,,,,,30/11/2022,,,,,,,,,,,,,,,52.432555,-2.026549,planning,50
,12964,05/01/2023,Hamilton March,"Hillside Farm, Lancaster Road - Battery Storage",Battery,Stand-alone Storage,,100,No,,,,,,,,,Planning Application Submitted,Application Submitted,,11948,Hillside Farm Lancaster Road Heaton With Oxcliffe ,Lancashire,North West,England, LA3 3ET,344285,460632,Lancaster Council,22/01317/FUL�,,,,,,20/12/2022,,,,,,,,,,,,,,,54.03864,-2.852232,planning,100
,12982,05/01/2023,Noriker Power Limited,"Welkin Mill, Welkin Road - Battery Storage",Battery,Stand-alone Storage,,49.9,No,,,,,,,,,Planning Application Submitted,Application Submitted,,8055,"Welkin Mill, Welkin Road, Bredbury, Stockport",Cheshire,North West,England,SK6 2BH,391035,391160,Stockport Metropolitan Borough Council,DC/087394,,,,,,09/12/2022,,,,,,,,,,,,,,,53.417166,-2.136351,planning,49
,13000,12/01/2023,Fred Olsen Renewables,Scawd Law Wind Farm,Battery,Co-located with RE,8002,12,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Land to the north east of Innerleithen approximately 3 km to the east of the B709 and 4 km north of the A72,Scottish Borders,Scotland,Scotland,EH43,336319,640165,Scottish Government (S36),ECU00002111,,,,,,22/12/2022,,,,,,,,,,,,,,,55.650828,-3.013502,planning,12
,13003,12/01/2023,Eccles Grid Stability Limited,"Eccles Substation, Eccles - Battery Energy Storage System",Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"W/O Eccles Substation, Eccles, Coldstream",Borders,Scotland,Scotland,TD12 4LU,380701,641455,Scottish Borders Council,22/01988/FUL,,,,,,22/12/2022,,,,,,,,,,,,,,,55.666218,-2.308354,planning,50
,13011,12/01/2023,Barton Battery Storage,"Mount Pleasant Farm, Green Lane - Battery Storage",Battery,Stand-alone Storage,,45,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Adjacent Mount Pleasant Farm, Green Lane, Barton",Lancashire,North West,England,PR3 0RP,352457,439858,Preston Council, 06/2022/0763,,,,,,22/12/2022,,,,,,,,,,,,,,,53.852764,-2.724219,planning,45
