Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),CfD Allocation Round,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,lat,long,status,mw
,11212,10/05/2022,Renewable Connections,Stocking Pelham - Battery Storage System,Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,Crabbs Lane And Pelham Substation Stocking Pelham ,Hertfordshire,Eastern,England,SG9,545670,228906,East Hertfordshire Council,3/22/0806/FUL,,,,,,27/04/2022,,,,,,,,,,,,,,,51.939595,0.1177,planning,50
,11217,17/10/2022,Shaw-Energi Limited,Penwortham - Battery storage,Battery,Stand-alone Storage,,57,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Electricity Sub Station 210M From National Grid Sub Station, Howick Cross Lane 4M From Unn Howick Cross Lane Penwortham",Lancashire,North West,England,PR1 0NS,350221,428070,South Ribble Borough Council,07/2022/00021/FUL,,,,,,01/04/2022,,,,,,,29/04/2022,,,,03/05/2025,,,,53.746613,-2.756297,planning,57
,11219,18/05/2022,Brookfield Renewable UK,Armadale Wind Farm,Battery,Co-located with RE,6362,42,,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Land 1100M South Of, Armadale Farm, Armadale, Thurso, ",Highland,Scotland,Scotland,KW14 7SA,279177,962608,Scottish Government (S36),ECU00003455,,,,,,22/03/2022,,,,,,,,,,,,,,,58.53475,-4.076945,planning,42
,11321,01/12/2022,Ecap Staythorpe BESS Limited,Staythorpe Road - Battery energy storage,Battery,Stand-alone Storage,,200,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,S/O Staythorpe Road Staythorpe,Nottinghamshire,East Midlands,England,NG23,476275,354392,Newark & Sherwood District council,22/01840/FULM,,,,,,23/11/2022,,,,,,,,,,,,,,,53.081313,-0.862764,planning,200
,11399,04/01/2023,Anglo Renewables,Lowlands Farm - Battery Storage,Battery,Stand-alone Storage,,50,No,,,,,,,,,Revised,Revised,12959,,"adj to M5 Motorway, Lowlands Farm, Illey Lane, Halesowen",West Midlands,West Midlands,England,B62 0HJ,398292,281620,Dudley Council,P22/0541,,,,,,17/05/2022,,15/08/2022,,,,,,,,,,,,,52.432555,-2.026549,planning,50
,11406,05/08/2022,Clearstone Energy,Worset Lane - Battery Energy Storage System,Battery,Stand-alone Storage,,200,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Worset Lane, Hartlepool",County Durham,North East,England,TS26,450841,532544,Hartlepool Borough Council,H/2022/0263,,,,,,05/07/2022,,,,,,,,,,,,,,,54.685388,-1.212911,planning,200
,11414,25/08/2022,Balance Power Projects Limited,"South Staffordshire Railway Walk, Castlecroft  - Battery Storage",Battery,Stand-alone Storage,,50,No,,,,,,,,,Appeal Granted,Awaiting Construction,,,"South Staffordshire Railway Walk, Castlecroft Road, Castlecroft, Wolverhampton",West Midlands,West Midlands,England,WV4 4XX,387086,296879,South Staffordshire Council,21/00440/FUL,APP/C3430/W/22/3292837,,,,,14/05/2021,,23/12/2021,12/04/2022,,,16/08/2022,16/08/2022,,,,16/08/2025,,,,52.569579,-2.191966,planning,50
,11415,30/03/2022,Green Frog Ventures Limited,Patch Elm Lane - Battery Storage ,Battery,Stand-alone Storage,,35,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,Patch Elm Lane Rangeworthy ,South Gloucestershire ,South West,England,BS37 7LT,367891,185716,South Gloucestershire Council,P21/07489/F,,,,,,19/11/2021,,,,,,,18/03/2022,,,,18/03/2025,,,,51.569394,-2.464667,planning,35
,11418,18/03/2021,Anesco,Brown Edge - Battery Storage,Battery,Stand-alone Storage,,49.53,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Bemersley Road, Brown Edge, ",Staffordshire,West Midlands,England,ST6,389389,353172,Staffordshire Moorlands District Council,SMD/2022/0076,,,,,,04/03/2022,,,,,,,,,,,,,,,53.07567,-2.159837,planning,49
,11436,23/09/2022,Brampton Energy Storage Limited,West Melton Electricity Substation - Energy Storage System,Battery,Stand-alone Storage,,26,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,SW/O West Melton Electricity Substation Elsecar Road Brampton Bierlow,South Yorkshire,Yorkshire and Humber,England,S63 6EZ,441204,400588,Rotherham Metropolitan Borough Council,RB2022/0853,,,,,,26/05/2022,,,,,,,13/09/2022,,,,13/09/2025,,,,53.500382,-1.380305,planning,26
,11437,22/12/2022,Econergy International Limited,Swangate Project - Energy Storage System,Battery,Stand-alone Storage,,50,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Adj West Melton Electricity Substation, Elsecar Road, Brampton Bierlow",South Yorkshire,Yorkshire and Humber,England,S63 6AG,441197,400743,Rotherham Metropolitan Borough Council,RB2017/1132,,,,,,24/07/2017,,,,,,,22/09/2017,,,,22/09/2020,,,,53.501776,-1.38039,planning,50
,11442,10/06/2022,Muirhall Energy Limited,Teviot Wind Farm,Battery,Co-located with RE,8921 & 11441,100,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Teviot Wind Farm Land South, East And West Of Priesthaugh ",Borders,Scotland,Scotland,TD9,340530,605838,Scottish Government (S36),ECU00003249,,,,,,20/05/2022,,,,,,,,,,,,,,,55.342961,-2.939226,planning,100
