name,customer,city,id,state,country,lat,long,coords exact,manufacturer,type,cells,status,date first heard,start construction,start operation,no of megapacks,no of powerpacks,capacity mwh,power mw,use case,project website,link1,link2,link3,notes
Solaseado,Kospo,Haenam County,518,jeolla,korea,34.709899,126.41275,1,hyundai ,,,operation,,,2020-04-10,,,305,72,98MW solar farm support,,https://krenewables.com/solar/kospo-ignites-koreas-biggest-pv-farm/,https://en.wikipedia.org/wiki/Battery_storage_power_station#cite_note-hei-78,,not sure whether Solaseado  or Solasido is correct spelling
Minety,Penso Power / China Huaneng Group / CNIC,Minety,519,,uk,51.605997,-2.003146,1,sungrow,,"LFP CATL, NMC Samsung",operation,,2019-12-01,2020-12-01,,,133,100,,https://www.pensopower.com/,https://en.wikipedia.org/wiki/Battery_storage_power_station#cite_note-nsenergy-minety-55,https://www.energy-storage.news/what-we-know-about-europes-largest-grid-connected-battery-project-so-far/,https://eclipsepower.co.uk/project/minety-battery-storage/,"PPA from shell, when second stage is complete it will be 150MW/266MWh"
Yorkshire,,yorkshire,520,,uk,53.949604,-1.190935,0,sungrow,,,operation,,,2019-12-01,,,30,27.5,34MW solar farm support,,https://www.pv-tech.org/industry-updates/yorkshire-uk-europes-largest-unsubsidized-solar-plus-storage-project/,,,
Gateway Energy Project,Intergen,London Gateway port/ essex,521,,uk,51.512649,0.493992,1,fluence,Gridstack,,planning,2020-11-30,,,,,640,320,,https://www.intergen.com/our-technologies/development-projects/gateway-energy-centre/,https://www.solarpowerportal.co.uk/news/intergen_unveil_uks_largest_battery_storage_project_with_320mw_essex_projec,,,should go online in 2024
Spalding,Intergen,spalding,522,,uk,52.805112,-0.133741,0,fluence,,,planning,2020-11-30,,,,,350,170,,https://www.intergen.com/our-technologies/development-projects/spalding-energy-park/,https://www.solarpowerportal.co.uk/news/intergen_unveil_uks_largest_battery_storage_project_with_320mw_essex_projec,,,
Antofagasta,AES Gener,Atacama Desert,523,,chile,-24.014801,-68.58494,0,fluence,Sunstack,,construction,,2020-10-19,,,,560,112,253MW solar farm support,,https://www.energy-storage.news/aes-begins-work-on-560mwh-largest-battery-system-in-latin-america-for-solar-and-wind-in-chile/,https://www.renpp.eu/en/solar-project/andes-solar-park-1018,,
Desert Quartize,EDF / Clean Power Alliance,Riverside County,524,california,usa,33.586379,-114.785106,1,,,,planning,2020-01-15,,,,,600,,300MW solar farm support,,https://eplanning.blm.gov/eplanning-ui/project/68211/570,https://www.blm.gov/press-release/blm-approves-desert-quartzite-solar-project-riverside-county,https://www.energy-storage.news/california-community-group-signs-ppa-for-edfs-300mw-desert-quartzite-solar-plus-storage-project/,should go online in 2024
Rexford 1 Solar,8minute / Clean Power Alliance,Tulare County,525,california,usa,35.853593,-119.051695,1,,,,planning,2020-09-11,,,,,540,180,300MW solar farm support,https://www.8minute.com/energy-storage/,https://www.energy-storage.news/california-community-energy-group-signs-ppa-for-400mw-540mwh-solar-plus-storage-plant/,https://tularecounty.ca.gov/rma/index.cfm/planning-building/environmental-planning/environmental-impact-reports/rexford-solar-project-psp-19-073/,,"should go online in 2023 ** already a large solar farm visible on google maps, but the planning doc shows it will be on new locations between existing solar farm"
Eland Solar,8minute / Capital Dynamics / LADWP,Kern County,526,california,usa,35.198008,-117.991201,1,,,,planning,2020-01-22,,,,,1200,300,400MW solar farm support,,https://www.8minute.com/2020/01/capital-dynamics-and-8minute-solar-energy-partner-on-breakthrough-400mwac-eland-solar-storage-center/,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwix09fvk-vyAhW66uAKHedwDZAQFnoECAYQAQ&url=https%3A%2F%2Feplanning.blm.gov%2Fepl-front-office%2Fprojects%2Fnepa%2F1502112%2F20005846%2F250006857%2FAppendix_C1_Bio_Survey_Report_(1)-min.pdf&usg=AOvVaw3jm8ixiUB8lmbZmltyHkqP,,"location from planning doc ** partially online in 2022, fully in 2023"
Sonoran Energy Center,Salt River Project,Buckeye,527,arizona,usa,33.174604,-112.709313,0,,,,planning,,,,,,1000,260,solar,https://www.nexteraenergyresources.com/sonoran-solar/project-overview.html,https://pv-magazine-usa.com/2019/11/15/srp-joins-the-big-boys-of-battery-storage/,https://pv-magazine-usa.com/2021/08/11/nextera-will-build-a-solar-storage-project-with-salt-river-project-as-offtaker/,,NextEra Energy Resources is owner
Blythe II Storage Project,Southern California Edison,Riverside County,528,california,usa,33.676313,-114.75575,1,Samsung,,Samsung,operation,2013-04-22,,2021-02-16,,,460,115,solar,,https://pv-magazine-usa.com/2020/05/02/southern-california-edison-wants-huge-770-mw-battery-storage-procurement-online-fast/,https://ieefa.org/nextera-brings-first-section-of-massive-california-battery-storage-complex-online/,,part of 523 MW / 2092 MWh of storage at Blythe-McCoy Solar & Storage Complex
Blythe III Storage Project,Southern California Edison,Riverside County,528,california,usa,33.673021,-114.754474,1,Samsung,,Samsung,operation,,,2021-02-16,,,460,115,solar,,https://pv-magazine-usa.com/2020/05/02/southern-california-edison-wants-huge-770-mw-battery-storage-procurement-online-fast/,,,part of 523 MW / 2092 MWh of storage at Blythe-McCoy Solar & Storage Complex
McCoy Storage Project,Southern California Edison,Riverside County,528,california,usa,33.664118,-114.749852,1,,,,construction,,,,,,920,230,250MW solar farm support,,https://pv-magazine-usa.com/2020/05/02/southern-california-edison-wants-huge-770-mw-battery-storage-procurement-online-fast/,,,part of 523 MW / 2092 MWh of storage at Blythe-McCoy Solar & Storage Complex
Storey Energy Center,Salt River Project,Coolidge,530,arizona,usa,32.8882,-111.4978,1,,,,planning,,,,,,264,88,88 MW solar farm support,https://www.nexteraenergyresources.com/storey-solar.html,https://www.nexteraenergyresources.com/content/dam/neer/us/en/pdf/Storey%20Solar%20Open%20House%20Slides_final%20for%20NEER%20website.pdf,https://pv-magazine-usa.com/2019/11/15/srp-joins-the-big-boys-of-battery-storage/,,NextEra Energy Resources is owner
Edwards Sanborn Solar Storage,Terra-Gen,Kern County,531,california,usa,34.911468,-117.889716,0,,,LG & Samsung,construction,2020-12-10,2021-02-01,,,,2445,346,1118 MW solar farm support,,https://renewablesnow.com/news/terra-gen-secures-usd-800m-for-massive-solar-storage-project-in-california-749635/,https://pv-magazine-usa.com/2021/08/02/terra-gen-secures-800-million-in-financing-for-solar-storage-project-in-california/,https://pv-magazine-usa.com/2020/12/11/morning-brief-big-home-batteries-from-lg-energy-terra-gen-and-mortenson-start-on-worlds-largest-standalone-solar-and-storage-project/,"735 MWh in Q3 '21, 1501 MWh by Q2 2022."
Tranquility Storage Retrofit,Southern California Edison,Cantua Creek,532,california,usa,36.591626,-120.404965,1,Powin,,Mitsubishi,operation,,2021-05-01,2021-08-31,,,288,72,200 MW solar farm support,,https://www.prnewswire.com/news-releases/southern-power-to-add-battery-energy-storage-resources-to-two-california-solar-projects-301222296.html,https://www.renewableenergyworld.com/storage/mitsubishi-powin-to-provide-battery-storage-retrofits-to-california-solar-projects/#gref,,LFP batteries
Garland Storage Retrofit,Southern California Edison,Kern County,533,california,usa,34.829699,-118.510184,1,Powin,,Mitsubishi,operation,,2021-05-01,2021-08-31,,,352,88,200 MW solar farm support,https://www.southernpowercompany.com/content/dam/southernpower/pdfs/fact-sheets/Garland_Energy_Storage_factsheet.pdf,https://www.prnewswire.com/news-releases/southern-power-to-add-battery-energy-storage-resources-to-two-california-solar-projects-301222296.html,https://www.renewableenergyworld.com/storage/mitsubishi-powin-to-provide-battery-storage-retrofits-to-california-solar-projects/#gref,,LFP batteries
Manatee,Florida Power and Light (FPL),Parrish / Manatee County,534,forida,usa,27.598383,-82.349213,1,,,,construction,2019-03-01,2021-02-02,,,,900,409,solar farm support,,https://www.world-energy.org/article/19846.html,https://www.youtube.com/watch?v=ZYbvXAS9buQ,https://www.energy-storage.news/work-begins-on-409mw-900mwh-florida-battery-project-to-ease-natural-gas-plants-into-retirement/,"Already 75% complete in August 2021, 132 shipping containers"
Crimson,Recurrent Energy / Axium Infrastructure,Riverside County,535,california,usa,33.705099,-115.804279,0,,,,planning,2021-05-04,,,,,1400,350,,https://recurrentenergy.com/project-portfolio/#,https://www.energy-storage.news/canadian-solar-sells-majority-stake-in-1-4gwh-california-battery-energy-storage-project/,https://www.energy-storage.news/us-doi-gives-green-light-to-350mw-1400mwh-energy-storage-project-in-california/,,"construction is expected to start in q3 2021, location is 35miles northwest of substation near blythe / colorado river substation"
Slate,Recurrent Energy / Goldman Sachs Renewables Power (GSRP),Kings County,536,california,usa,36.227583,-119.877056,1,,,,construction,,2021-01-01,,,,561,140,300MW solar farm support,https://recurrentenergy.com/project/slate/,https://www.energy-storage.news/progress-report-some-more-of-us-biggest-battery-projects-taking-shape/,https://ceqanet.opr.ca.gov/2019069068/2,,
Mustang,Recurrent Energy / Goldman Sachs Renewables Power (GSRP),Kings County,537,california,usa,36.245785,-119.904115,0,byd,,LFP,construction,2020-10-20,,,,,300,75,100MW solar farm support,https://recurrentenergy.com/project/mustang-solar-storage/,https://www.energy-storage.news/canadian-solar-will-retrofit-300mwh-of-batteries-at-goldman-sachss-mustang-solar-plant-california/,,,
Papago,Recurrent Energy,Maricopa County,538,arizona,usa,33.481046,-113.03863,1,,,,planning,2019-07-01,,,,,1200,300,300MW solar farm support,https://recurrentenergy.com/project/papago/,https://www.maricopa.gov/AgendaCenter/ViewFile/Item/7254?fileID=56298,,,
