quarter,category,count,mwh_sum,kwh_avg,mw_sum,kw_avg
2017-Q1,small,3141,20,6.6,10,3.4
2017-Q2,small,6345,44,7.0,23,3.6
2017-Q3,small,6808,50,7.4,25,3.7
2017-Q4,small,1130,8,7.5,4,3.9
2018-Q1,small,4633,35,7.6,17,3.8
2018-Q2,small,7909,59,7.6,29,3.8
2018-Q3,small,8522,65,7.7,32,3.9
2018-Q4,small,1376,11,8.0,5,4.0
2019-Q1,small,7352,56,7.7,27,3.8
2019-Q2,small,14690,114,7.8,54,3.7
2019-Q3,small,17107,134,7.8,64,3.7
2019-Q4,small,2917,22,7.7,11,3.8
2020-Q1,small,15707,125,8.0,60,3.9
2020-Q2,small,26833,219,8.2,108,4.0
2020-Q3,small,35888,293,8.2,155,4.3
2020-Q4,small,7483,60,8.1,33,4.5
2021-Q1,small,26071,218,8.4,120,4.6
2021-Q2,small,48473,408,8.4,231,4.8
2021-Q3,small,53819,453,8.4,258,4.8
2021-Q4,small,9949,84,8.5,49,5.0
2022-Q1,small,42045,354,8.4,197,4.7
2022-Q2,small,60552,511,8.4,331,5.5
2022-Q3,small,13887,118,8.5,86,6.2
2022-Q4,small,581,4,8.4,3,5.7
2023-Q1,small,285,2,8.6,1,5.9
2023-Q2,small,91,0,8.3,0,5.4
2023-Q3,small,26,0,9.7,0,5.9
2023-Q4,small,10,0,7.3,0,3.8
