quarter,category,count,mwh_sum,kwh_avg,mw_sum,kw_avg
2017-Q1,small,3153,20,6.6,10,3.4
2017-Q2,small,6367,44,7.0,23,3.6
2017-Q3,small,6850,50,7.4,25,3.7
2017-Q4,small,1135,8,7.5,4,3.9
2018-Q1,small,4639,35,7.6,17,3.7
2018-Q2,small,7929,60,7.6,29,3.8
2018-Q3,small,8562,66,7.7,33,3.9
2018-Q4,small,1390,11,8.0,5,4.0
2019-Q1,small,7359,56,7.7,27,3.8
2019-Q2,small,14709,114,7.8,54,3.7
2019-Q3,small,17116,134,7.8,64,3.7
2019-Q4,small,2929,22,7.7,11,3.8
2020-Q1,small,15718,125,8.0,60,3.9
2020-Q2,small,26862,219,8.2,108,4.0
2020-Q3,small,35942,294,8.2,154,4.3
2020-Q4,small,7496,61,8.2,33,4.5
2021-Q1,small,26152,219,8.4,117,4.5
2021-Q2,small,48751,411,8.4,231,4.7
2021-Q3,small,54184,457,8.4,255,4.7
2021-Q4,small,10058,85,8.5,47,4.7
2022-Q1,small,42874,361,8.4,201,4.7
2022-Q2,small,64980,550,8.5,316,4.9
2022-Q3,small,77503,660,8.5,436,5.6
2022-Q4,small,2522,21,8.4,13,5.5
2023-Q1,small,3193,27,8.5,23,7.3
2023-Q2,small,517,4,8.8,3,5.9
2023-Q3,small,125,1,8.7,0,5.5
2023-Q4,small,30,0,8.9,0,5.8
